Answer,Person,Specific Type,General Type
john_locke,1,Philosopher,
active_galactic_nucleus,0,,
john_adams_(miniseries),1,US President,"government,us president"
amun,0,Deity,"religion,deity"
petra,0,Tourist attraction,"travel,tourist attraction"
the_feast_in_the_house_of_levi,0,History Painting,
chronicle_of_a_death_foretold,0,Crime Fiction Book,
pluto,0,Bodies with heliocentric orbit,
bangkok,0,City/Town/Village,"location,citytown"
weak_interaction,0,Fundamental interaction,"physics,fundamental interaction"
verbal_behavior,0,Book,"book,book"
bruno_bettelheim,1,Psychologist,
second_temple,0,Location,"location,location"
velocity_of_money,0,,
mannerism,0,Art Period/Movement,"visual art,art period movement"
wilhelm_rontgen,0,,
assyria,0,Country,"location,country"
mount_fuji,0,Stratovolcano,
falstaff_(opera),0,Opera,"opera,opera"
younger_dryas,0,,
honey_bee_pheromones,0,,
tydeus,0,Film character,"film,film character"
sarah,0,,
in_the_mood_for_love,0,Romance Film,
mystical_marriage_of_saint_catherine,0,,
les_huguenots,0,Opera,"opera,opera"
anaxagoras,1,Philosopher,
helmholtz_free_energy,0,,
indiana,0,US State,"location,us state"
sarah_bernhardt,1,Actor,
gerard_manley_hopkins,1,Poet,
curvature,0,,
democritus,1,Philosopher,
unam_sanctam,0,,
frederick_jackson_turner,1,Historian,
kabbalah,0,Literature Subject,"book,book subject"
edward_hicks,1,Painting Artist,
human_genome_project,0,Project,"projects,project"
bertolt_brecht,1,Poet,
acetylcholine,0,Drug,"medicine,drug"
satyagraha,0,Literature Subject,"book,book subject"
mansfield_park,0,Fiction Book,
urea,0,Chemical Compound,
foot_binding,0,Literature Subject,"book,book subject"
franz_boas,1,Anthropologist,
masaccio,1,Painting Artist,
seaborgium,0,Chemical Element,"chemistry,chemical element"
chiron,0,Opera Character,"opera,opera character"
dyson_sphere,0,,
cancer_(constellation),0,Constellation,"astronomy,constellation"
patella,0,Bone,"medicine,bone"
aryl_halide,0,Chemical Classification,"chemistry,chemical classification"
harry_stack_sullivan,1,Psychiatrist,
alpha_particle,0,Subatomic particle,"physics,particle"
pseudo-dionysius_the_areopagite,1,Philosopher,
kenneth_arrow,1,Economist,
mackenzie_river,0,River,"geography,river"
claude_shannon,1,Mathematician,
"absalom,_absalom!",0,Book,"book,book"
federalist_papers,0,,
herbert_a._simon,1,Economist,
edict_of_nantes,0,,
epinephrine,0,,
ramadan,0,Holiday,"time,holiday"
medusa,0,Fictional Character,"fictional universe,fictional character"
salmonella,0,Biological Genus,
hypnos,0,Deity,"religion,deity"
david_copperfield_(character),0,Book Character,"book,book character"
armory_show,0,Art exhibition,
huffman_coding,0,,
candide,0,Satirical Book,
acupuncture,0,Profession,"people,profession"
electra,0,Theater Character,"theater,theater character"
stegosaurus,0,Biological Genus,
collagen,0,Product ingredient,"business,product ingredient"
the_rape_of_the_lock,0,Poem,"book,poem"
giacomo_meyerbeer,1,Composer,"music,composer"
thomas_friedman,0,,
james_a._garfield,1,US President,"government,us president"
zeta_potential,0,,
python_(programming_language),0,,
oxygen,0,Chemical Element,"chemistry,chemical element"
gini_coefficient,0,,
work_function,0,,
the_glass_menagerie,0,Play,"theater,play"
mie_scattering,0,,
hooke's_law,0,,
lactic_acid,0,Chemical Compound,"chemistry,chemical compound"
battle_of_trenton,0,Military Conflict,"military,military conflict"
alkane,0,Chemical Classification,"chemistry,chemical classification"
divine_right_of_kings,0,,
the_screwtape_letters,0,Satirical Book,
taliesin,1,Writer,
palm_islands,0,Island Group,"geography,island group"
rem_koolhaas,1,Architect,"architecture,architect"
critique_of_practical_reason,0,Book,"book,book"
binary_star,0,Celestial object category,"astronomy,celestial object category"
british_virgin_islands,0,Country,"location,country"
clifford_geertz,1,Anthropologist,
parmenides_(dialogue),0,Book,"book,book"
edith_wharton,1,,
max_ernst,1,Painting Artist,
molecular_orbital_theory,0,,
transfer_rna,0,,
david_(donatello),1,Religious Leader,"religion,religious leader"
transketolase,0,,
memristor,0,,
rick_warren,1,Pastor,
color_blindness,0,Disease or medical condition,"medicine,disease"
kiwi,0,Biological Genus,
interphase,0,,
the_world_as_will_and_representation,0,Book,"book,book"
two-dimensional_nuclear_magnetic_resonance_spectroscopy,0,,
bystander_effect,0,,
toronto,0,City/Town/Village,"location,citytown"
flora_purim,1,Jazz fusion Artist,
alfred_dreyfus,1,Army officer,
paul_taylor_(choreographer),1,Organization founder,"organization,organization founder"
dave_brubeck,1,Bandleader,
vincent_van_gogh,1,Painting Artist,
auger_effect,0,,
horatio_gates,1,Politician,"government,politician"
league_of_nations,1,Musical Artist,"music,artist"
long_island,0,Geographical Feature,"geography,geographical feature"
galileo_(spacecraft),0,Satellite,"spaceflight,satellite"
elgin_marbles,0,Art Series,"visual art,art series"
executive_privilege,0,,
pilgrimage,0,,
william_henry_harrison,1,US President,"government,us president"
viscosity,0,Dimension,"measurement unit,dimension"
kwame_nkrumah,1,Politician,"government,politician"
te_deum,0,Composition,"music,composition"
lycidas,0,Poem,"book,poem"
antidepressant,0,Medical Treatment,"medicine,medical treatment"
john_foster_dulles,1,U.S. Congressperson,"government,u s congressperson"
efficient-market_hypothesis,0,,
the_plague,0,Absurdist Fiction Book,
parmenides,1,Philosopher,
grandma_moses,1,Painting Artist,
lucas_cranach_the_elder,1,Painting Artist,
chester_a._arthur,1,US President,"government,us president"
madeira,0,Administrative Division,"location,administrative division"
russell's_paradox,0,,
treaty_of_utrecht,0,Event,"time,event"
consciousness,0,Quotation Subject,"media common,quotation subject"
diomedes,0,Book Character,"book,book character"
pictures_at_an_exhibition,0,Suite,
thelonious_monk,1,Bebop Artist,
josef_von_sternberg,1,Film director,"film,director"
earth's_magnetic_field,0,Literature Subject,"book,book subject"
personality,0,,
fomalhaut,0,Star,"astronomy,star"
samuel_j._tilden,1,Politician,"government,politician"
ambrose_bierce,1,Novelist,
heimdallr,0,Deity,"religion,deity"
quantum_computer,0,Literature Subject,"book,book subject"
the_wedding_at_cana,0,,
henry_hudson,1,Explorer,
the_work_of_art_in_the_age_of_mechanical_reproduction,0,Book,"book,book"
angry_young_men,0,,
colloid,0,,
darling_river,0,River,"geography,river"
abraham_maslow,1,Psychologist,
jorge_luis_borges,1,,
ludwig_van_beethoven,1,Violist,
erewhon,0,Satirical Book,
earl_warren,1,Jurist,
homestead_strike,0,Event,"time,event"
common_sense_(pamphlet),0,Non-Fiction Book,
electronvolt,0,Unit of Energy,"measurement unit,energy unit"
salt_lake_city,0,City/Town/Village,"location,citytown"
draco_(constellation),0,Constellation,"astronomy,constellation"
aral_sea,0,Water reservoir Lake,
metropolis_(1927_film),0,,
transcendentalism,0,Literary School Or Movement,"book,school or movement"
alexander_kerensky,1,Politician,"government,politician"
i_ching,0,Religious Text,"religion,religious text"
snow_country,0,,
agil_paradigm,0,,
dlvo_theory,0,,
orion_(mythology),0,,
emmanuel_chabrier,1,Composer,"music,composer"
carl_philipp_emanuel_bach,1,Composer,"music,composer"
carbene,0,,
stress_(biology),0,Quotation Subject,"media common,quotation subject"
muhammad_ali_jinnah,1,Politician,"government,politician"
discipline_and_punish,0,Book,"book,book"
magnetosphere,0,,
arms_and_the_man,0,,
dian_fossey,1,Academic,"education,academic"
cytochrome_c_oxidase,0,Protein,"biology,protein"
hermann_von_helmholtz,1,Physicist,
lawrencium,0,Chemical Element,"chemistry,chemical element"
parthian_empire,0,Literature Subject,"book,book subject"
william_wordsworth,1,Poet,
ivan_the_terrible,1,Monarch,"royalty,monarch"
"sickle_cell_anemia,_a_molecular_disease",0,,
carbanion,0,,
impromptus_(schubert),0,Composition,"music,composition"
ophelia_(painting),0,Pre-Raphaelite Artwork,
rna_editing,0,,
columbia_river,0,River,"geography,river"
carbonic_anhydrase,0,Protein,"biology,protein"
homo_erectus,0,Biological Species,
loop_quantum_gravity,0,,
threshold_voltage,0,,
persepolis,0,,
mount_kinabalu,0,Mountain,"geography,mountain"
heinrich_hertz,1,Physicist,
cold_fusion,1,Musical Artist,"music,artist"
geography_of_ivory_coast,0,,
dagon,0,Deity,"religion,deity"
steppenwolf_(novel),0,Novel,
decibel,1,Musical Artist,"music,artist"
gabriela_mistral,1,Diplomat,
lithium,0,,
pancho_villa,1,Military Commander,"military,military commander"
pierre_corneille,1,Dramatist,
meistersinger,0,,
chicago_school_of_economics,0,,
hysteresis,0,,
patagonia,0,Region,"location,region"
apparent_magnitude,0,,
minkowski_space,0,,
vermont,0,US State,"location,us state"
myrrha,0,Theater Character,"theater,theater character"
haruki_murakami,1,Novelist,
yenisei_river,0,River,"geography,river"
fermilab,0,Location,"location,location"
cisplatin,0,Prescription drug,
kali,1,Soccer Defender,
edmonton,0,City/Town/Village,"location,citytown"
conjugate_variables_(thermodynamics),0,,
brahmaputra_river,0,River,"geography,river"
kublai_khan,1,Monarch,"royalty,monarch"
die_meistersinger_von_nurnberg,0,,
thyroid,0,Anatomical structure,"medicine,anatomical structure"
cervix,0,Anatomical structure,"medicine,anatomical structure"
transformer,0,Invention,"law,invention"
sharpless_asymmetric_dihydroxylation,0,,
geography_of_switzerland,0,,
battle_of_caporetto,0,Military Conflict,"military,military conflict"
xibalba,0,Fictional Setting,"fictional universe,fictional setting"
phillis_wheatley,1,Writer,
calcium_signaling,0,,
calcium_carbonate,0,Chemical Compound,"chemistry,chemical compound"
carboxylic_acid,0,,
david_lloyd_george,1,Politician,"government,politician"
vasco_da_gama,1,Explorer,
rip_van_winkle,1,Man,
gender_trouble,0,Book,"book,book"
schenck_v._united_states,0,Legal case,"law,legal case"
polarization_(waves),0,,
wuthering_heights,0,Gothic Fiction Book,
anaerobic_respiration,0,,
peking_man,0,World Heritage Site,
dialogues_of_the_carmelites,0,Opera,"opera,opera"
denaturation_(biochemistry),0,,
problem_of_induction,0,,
criminology,0,Field of study,"education,field of study"
emile_zola,0,,
second_boer_war,0,Military Conflict,"military,military conflict"
central_african_republic,0,Country,"location,country"
aeneas,0,Opera Character,"opera,opera character"
thomas_hardy,1,Novelist,
frame-dragging,0,,
spiro_agnew,1,US Vice President,"government,us vice president"
mithra,0,Deity,"religion,deity"
colorado_river,0,River,"geography,river"
yerevan,0,City/Town/Village,"location,citytown"
octopus,0,Animal,"biology,animal"
the_overcoat,0,Short Story,"book,short story"
all_the_king's_men,0,,
tetanus,0,Disease or medical condition,"medicine,disease"
magnetic_field,0,,
aubrey_beardsley,1,Visual Artist,"visual art,visual artist"
olivier_messiaen,1,,
antonio_de_oliveira_salazar,0,,
john_the_baptist,1,Religious Leader,"religion,religious leader"
schwarzschild_radius,0,,
william_hogarth,1,Painting Artist,
treemonisha,0,Opera,"opera,opera"
prince_edward_island,0,Canadian Province,"location,province"
new_guinea,0,,
kodiak_island,0,Geographical Feature,"geography,geographical feature"
david_hilbert,1,Mathematician,
critique_of_judgment,0,Philosophy Book,
basilica_of_san_francesco_d'assisi,0,Italian Gothic Structure,
first_epistle_to_the_thessalonians,0,Religious Text,"religion,religious text"
papal_infallibility,0,Belief,"religion,belief"
priam,0,Opera Character,"opera,opera character"
gene_conversion,0,,
paris_(mythology),0,Opera Character,"opera,opera character"
isis,1,Post-metal Artist,
prospect_theory,0,,
aldol_reaction,0,,
john_dos_passos,1,Novelist,
khnum,0,Deity,"religion,deity"
twilight_of_the_idols,0,Philosophy Book,
aorta,0,Artery,"medicine,artery"
ezekiel,1,Religious Leader,"religion,religious leader"
caenorhabditis_elegans,0,Biological Species,
claes_oldenburg,1,Sculpture Artist,
bodhisattva,0,,
the_subjection_of_women,0,Sociology Book,
samarkand,0,City/Town/Village,"location,citytown"
eddy_covariance,0,,
shrine,0,,
dna_replication,0,Field of study,"education,field of study"
hans_island,0,Island,"geography,island"
cyclohexane,0,Chemical Compound,"chemistry,chemical compound"
ordovician,0,Geologic time period,"time,geologic time period"
the_gift_(book),0,,
haman_(biblical_figure),0,,
jacopo_della_quercia,1,Sculpture Artist,
alberto_giacometti,1,Painting Artist,
henry_cabot_lodge,0,,
saint_christopher,1,Deceased Person,"people,deceased person"
the_duchess_of_malfi,0,Play,"theater,play"
gonorrhea,0,Disease or medical condition,"medicine,disease"
el_greco,1,Painting Artist,
solar_wind,0,,
noise_(electronics),0,,
planck_constant,0,,
phosphorescence,0,,
mr._smith_goes_to_washington,0,Comedy-drama Film,
work_(physics),0,Measuring Instrument,"measurement unit,measuring instrument"
green_algae,0,,
the_theory_of_moral_sentiments,0,Book,"book,book"
idealism,0,,
"cry,_the_beloved_country",0,Novel,
guggenheim_museum_bilbao,0,,
bubonic_plague,0,Disease or medical condition,"medicine,disease"
the_theory_of_communicative_action,0,Book,"book,book"
monophysitism,0,,
jehovah's_witnesses,0,Religion,"religion,religion"
louis_daguerre,1,Physicist,
an_american_tragedy,0,Crime Fiction Book,
on_liberty,0,Fiction Book,
stanley_kubrick,1,Film director,"film,director"
ezra,1,Man,
linus_pauling,1,Physicist,
aaron's_rod,1,Person,"people,person"
psycholinguistics,0,Field of study,"education,field of study"
comparative_advantage,0,,
black_body,0,,
george_gamow,1,Physicist,
giacomo_leopardi,1,Philosopher,
battle_of_salamis,0,Military Conflict,"military,military conflict"
symphony_in_d_minor_(bruckner),0,Symphony,
johann_wolfgang_von_goethe,1,Novelist,
dawes_plan,0,,
little_albert_experiment,0,,
parkinson's_disease,0,Disease or medical condition,"medicine,disease"
ebola_virus,0,,
madonna_of_chancellor_rolin,0,Painting Artwork,
margaret_atwood,1,Novelist,
herbert_marcuse,1,Philosopher,
strontium,0,Chemical Element,"chemistry,chemical element"
dubliners,0,,
mapp_v._ohio,0,Legal case,"law,legal case"
winslow_homer,1,Painting Artist,
boxer_rebellion,0,Military Conflict,"military,military conflict"
yemen,0,Country,"location,country"
anti-masonic_party,0,Political party,"government,political party"
tasmanian_devil,0,Film character,"film,film character"
montreal,0,City/Town/Village,"location,citytown"
mount_whitney,0,Mountain,"geography,mountain"
l'orfeo,0,Opera,"opera,opera"
activation_energy,0,,
adolf_hitler,1,Military Commander,"military,military commander"
triple_point,0,,
livy,1,Historian,
igbo_people,0,Ethnicity,"people,ethnicity"
charles_dickens,1,Novelist,
madelung_constant,0,,
driftless_area,0,Location,"location,location"
report_on_manufactures,0,,
gustav_fechner,1,Psychologist,
caroline_affair,0,,
as_you_like_it,0,Play,"theater,play"
rogier_van_der_weyden,1,Painting Artist,
zirconium,0,Chemical Element,"chemistry,chemical element"
les_demoiselles_d'avignon,0,Cubist Artwork,
wien's_displacement_law,0,,
arabidopsis_thaliana,0,Biological Species,
heart,0,Anatomical structure,"medicine,anatomical structure"
black_hawk_war,0,Military Conflict,"military,military conflict"
gymnosperm,0,Organism Classification,"biology,organism classification"
galen,1,Philosopher,
gehenna,0,Location,"location,location"
dante_alighieri,1,Statesman,
battle_of_actium,0,Military Conflict,"military,military conflict"
ahab,1,Man,
dialysis,0,Medical Treatment,"medicine,medical treatment"
karl_popper,1,Philosopher,
nihilism,0,Literature Subject,"book,book subject"
kullervo,0,Person Or Being In Fiction,"fictional universe,person in fiction"
uric_acid,0,Chemical Compound,"chemistry,chemical compound"
kamakura_shogunate,0,Event,"time,event"
nanook_of_the_north,0,Documentary Film,
otto_hahn,1,Chemist,
magnetic_flux,0,,
corona,0,,
deconstruction,0,,
siena_cathedral,0,Italian Gothic Structure,
palm_sunday,0,Western Christian Holiday,
nitrogen,0,Chemical Element,"chemistry,chemical element"
ruslan_and_lyudmila_(opera),0,,
bipolar_junction_transistor,0,,
the_magic_mountain,0,Bildungsroman,
dead_souls,0,Fiction Book,
nitric_acid,0,Chemical Compound,"chemistry,chemical compound"
toru_takemitsu,0,,
hydrogenation,0,Ranked item,"award,ranked item"
seagram_building,0,International style Structure,
the_burial_of_the_count_of_orgaz,0,Mannerist Artwork,
filippino_lippi,1,Painting Artist,
yama,0,Deity,"religion,deity"
a_sunday_afternoon_on_the_island_of_la_grande_jatte,0,Pointillism Artwork,
corpus_callosum,0,Brain Structure,"medicine,brain"
solubility,0,,
philoctetes,0,Theater Character,"theater,theater character"
liberal_paradox,0,,
terry_riley,1,Minimalist Artist,
marcel_proust,1,Novelist,
concerto,0,,
the_concept_of_law,0,,
anthony_burgess,1,Novelist,
eugene_o'neill,1,Dramatist,
john_cage,1,20th century classical Artist,
santa_catalina_mountains,0,Mountain range,"geography,mountain range"
langston_hughes,1,Novelist,
ambrose_burnside,1,Military Commander,"military,military commander"
stockholm,0,City/Town/Village,"location,citytown"
nematode,0,Biological Phylum,
barry_goldwater,1,U.S. Congressperson,"government,u s congressperson"
richard_wagner,1,Composer,"music,composer"
cairo,0,City/Town/Village,"location,citytown"
anubis,0,Deity,"religion,deity"
pareto_efficiency,0,Award-Winning Work,"award,award winning work"
ghrelin,0,Hormone,"medicine,hormone"
vendidad,0,,
nicolaou_taxol_total_synthesis,0,,
the_seagull,0,Play,"theater,play"
songs_without_words,0,Composition,"music,composition"
bioko,0,Island,"geography,island"
pale_fire,0,Fiction Book,
the_art_of_fugue,0,Composition,"music,composition"
sister_carrie,0,Novel,
consumer_price_index,0,,
existentialism,0,Literary School Or Movement,"book,school or movement"
wassily_kandinsky,1,Painting Artist,
quark,0,Subatomic particle family,"physics,particle family"
conservative_judaism,0,Religion,"religion,religion"
palazzo_pitti,0,Renaissance Structure,
public_sphere,0,,
sublimation_(phase_transition),0,,
imhotep,1,Deity,"religion,deity"
amino_acid,0,Chemical Classification,"chemistry,chemical classification"
magnetic_potential,0,,
lady_gaga,1,Celebrity,"celebrities,celebrity"
toulouse,0,City/Town/Village,"location,citytown"
the_nightingale_(fairy_tale),0,,
jean-baptiste-camille_corot,0,,
myasthenia_gravis,0,Disease or medical condition,"medicine,disease"
pittsburgh,0,City/Town/Village,"location,citytown"
stephen_langton,1,Deceased Person,"people,deceased person"
on_the_jewish_question,0,,
prometheus,1,Musical Artist,"music,artist"
marvin_harris,1,Anthropologist,
uracil,0,Chemical Compound,"chemistry,chemical compound"
baldr,0,Deity,"religion,deity"
semantics,0,Field of study,"education,field of study"
robert_frost,1,Dramatist,
entropy_(information_theory),0,,
andreas_vesalius,1,Physician,"medicine,physician"
bronislaw_malinowski,0,,
photosynthesis,1,Composer,"music,composer"
hydrogen_bond_catalysis,0,,
chlorophyll,0,Chemical Compound,"chemistry,chemical compound"
loki,0,Comic Book Character,"comic books,comic book character"
lascaux,0,World Heritage Site,
gingivitis,0,Symptom,"medicine,symptom"
lake_tanganyika,0,Lake,"geography,lake"
samuel_pepys,1,Author,"book,author"
kvasir,0,Deity,"religion,deity"
fomorians,0,,
gangrene,0,Disease or medical condition,"medicine,disease"
great_leap_forward,0,Event,"time,event"
olmec,0,Literature Subject,"book,book subject"
angkor_wat,0,Temple,
shark,0,Animal,"biology,animal"
the_phenomenology_of_spirit,0,Book,"book,book"
reichstag_building,0,Tourist attraction,"travel,tourist attraction"
hydrogen_cyanide,0,Chemical Compound,"chemistry,chemical compound"
the_turn_of_the_screw,0,Opera,"opera,opera"
timaeus_(dialogue),0,Book,"book,book"
george_akerlof,1,Economist,
f._scott_fitzgerald,1,Novelist,
tooth,0,,
abraham,1,Prophet,
light-emitting_diode,0,Invention,"law,invention"
fourth_crusade,0,Military Conflict,"military,military conflict"
donatism,0,,
lateran_treaty,0,,
balthus,1,Painting Artist,
ariadne_auf_naxos,0,Opera,"opera,opera"
samhain,0,Holiday,"time,holiday"
maine,0,US State,"location,us state"
proxima_centauri,0,Star,"astronomy,star"
george_orwell,1,Novelist,
cannon,0,Product category,"business,product category"
samuel,1,Prophet,
oklahoma!,0,,
an_american_dilemma,0,Sociology Book,
canadian_shield,0,Mountain range,"geography,mountain range"
pietro_da_cortona,1,Painting Artist,
pamir_mountains,0,Mountain range,"geography,mountain range"
overtures_by_hector_berlioz,0,,
etching_(microfabrication),0,,
wallonia,0,,
"arthur_wellesley,_1st_duke_of_wellington",1,Military Commander,"military,military commander"
howards_end,0,Romance Film,
limpopo_river,0,River,"geography,river"
zebrafish,0,Biological Species,
posttraumatic_stress_disorder,0,Disease or medical condition,"medicine,disease"
quantum_entanglement,0,,
chaperone_(protein),0,Protein,"biology,protein"
snowy_mountains,0,,
hajj,0,Religious Practice,"religion,religious practice"
tooth_enamel,0,Anatomical structure,"medicine,anatomical structure"
lupercalia,0,Holiday,"time,holiday"
kisangani,0,City/Town/Village,"location,citytown"
arkansas_river,0,River,"geography,river"
hull_house,0,Italianate Structure,
louis_kahn,1,Professor,
pure_land_buddhism,0,Religion,"religion,religion"
ptah,0,Deity,"religion,deity"
immaculate_conception,0,Event,"time,event"
amine,1,Rhythm and blues Artist,
hercules_(constellation),0,Constellation,"astronomy,constellation"
green_fluorescent_protein,0,Award-Winning Work,"award,award winning work"
neurogenesis,0,,
oder,0,River,"geography,river"
james_baldwin,1,Novelist,
the_sound_and_the_fury,0,Fiction Book,
henry_clay,1,U.S. Congressperson,"government,u s congressperson"
information_asymmetry,0,Award-Winning Work,"award,award winning work"
the_birth_of_tragedy,0,Philosophy Book,
chaos_theory,0,Field of study,"education,field of study"
sediment_transport,0,,
monadology,0,Written Work,"book,written work"
photosystem_ii,0,,
seven_against_thebes,0,Play,"theater,play"
maurice_merleau-ponty,1,Philosopher,
andaman_islands,0,Island Group,"geography,island group"
pergamon_altar,0,Location,"location,location"
vagueness,0,,
bhagavad_gita,0,Religious Text,"religion,religious text"
celts,0,Ethnicity,"people,ethnicity"
uriah_the_hittite,1,Person Or Being In Fiction,"fictional universe,person in fiction"
action_at_a_distance,0,,
the_sickness_unto_death,0,Book,"book,book"
polymer,0,Chemical Classification,"chemistry,chemical classification"
the_deposition_(raphael),0,Painting Artwork,
topoisomerase,0,Protein,"biology,protein"
fuel_cell,0,Industry,"business,industry"
dative_case,0,,
khalsa,0,,
helium,0,Nonmetal,
henry_david_thoreau,1,Philosopher,
ubiquitin,0,Protein,"biology,protein"
saint_stephen,1,Deceased Person,"people,deceased person"
speed_of_sound,0,Unit of Speed,"measurement unit,speed unit"
glengarry_glen_ross,0,Drama Film,
paolo_veronese,1,Painting Artist,
dining_philosophers_problem,0,,
zyklon_b,0,Invention,"law,invention"
"nude_descending_a_staircase,_no._2",0,Cubist Artwork,
american_gothic,0,,
valence_band,0,,
marcus_garvey,1,Organization founder,"organization,organization founder"
fruit,0,Food,"food,food"
lewis_carroll,1,Novelist,
carl_sandburg,1,Novelist,
roger_casement,1,Military Person,"military,military person"
poetics_(aristotle),0,Book,"book,book"
glomerulus,0,Anatomical structure,"medicine,anatomical structure"
chemotaxis,0,,
neon,0,,
emile_durkheim,0,,
taklamakan_desert,0,Location,"location,location"
werner_herzog,1,Film director,"film,director"
momentum,0,,
allan_bloom,1,Philosopher,
the_library_of_babel,0,Fantasy Short Story,
battle_of_chancellorsville,0,Military Conflict,"military,military conflict"
la_brea_tar_pits,0,Museum,"architecture,museum"
kepler's_laws_of_planetary_motion,0,Literature Subject,"book,book subject"
debye_model,0,,
the_imitation_of_christ,0,Book,"book,book"
gas_chromatography,0,,
weaving_(mythology),0,,
goldberg_variations,0,Composition,"music,composition"
boston_massacre,0,Event,"time,event"
book_of_isaiah,0,Religious Text,"religion,religious text"
beyond_freedom_and_dignity,0,Book,"book,book"
jude_the_obscure,0,Book,"book,book"
hepatitis,0,Disease or medical condition,"medicine,disease"
uncle_tom's_cabin,0,Novel,
cherenkov_radiation,0,,
richard_wright_(author),1,Novelist,
judy_chicago,1,Painting Artist,
wheat,0,Biological Genus,
jusepe_de_ribera,1,Painting Artist,
seine,0,River,"geography,river"
waldensians,0,Military Combatant,"military,military combatant"
in_a_different_voice,0,Book,"book,book"
xanthophyll,0,Chemical Classification,"chemistry,chemical classification"
stimulated_emission,0,,
ontology,0,Literature Subject,"book,book subject"
rosh_hashanah,0,Jewish holiday,
hadron,0,Subatomic particle family,"physics,particle family"
aphrodite,1,Musical Artist,"music,artist"
ethan_frome,0,Fantasy Book,
ideology,0,Quotation Subject,"media common,quotation subject"
acts_of_the_apostles,0,Religious Text,"religion,religious text"
roche_limit,0,,
antibody,0,Protein,"biology,protein"
bantustan,0,Form of Government,"government,form of government"
st_matthew_passion,0,Composition,"music,composition"
redshift,0,,
mark_the_evangelist,1,Writer,
the_village_(the_prisoner),0,,
indira_gandhi,1,Politician,"government,politician"
reinhold_niebuhr,1,Theologian,
ares,1,Man,
costa_rica,0,Country,"location,country"
eros_and_civilization,0,Philosophy Book,
miguel_angel_asturias,0,,
colon_(anatomy),0,,
a_dance_to_the_music_of_time_(painting),0,Classicist Artwork,
lymph,0,,
groundwork_of_the_metaphysic_of_morals,0,,
aneurysm,0,Disease or medical condition,"medicine,disease"
mobutu_sese_seko,1,Politician,"government,politician"
prague_spring,0,Event,"time,event"
mahavira,1,Religious Leader,"religion,religious leader"
stigmata,1,Musician,
nero,1,Roman Emperor,
michael_reaction,0,,
chemical_equilibrium,0,,
james_fenimore_cooper,1,Novelist,
irrawaddy_river,0,River,"geography,river"
charles_bulfinch,1,Architect,"architecture,architect"
casey_at_the_bat,0,Picture Book,
messiah_(handel),0,,
hector_berlioz,1,Composer,"music,composer"
l'incoronazione_di_poppea,0,Opera,"opera,opera"
mikhail_glinka,1,Composer,"music,composer"
queensland,0,Australian State,"location,australian state"
spem_in_alium,0,Composition,"music,composition"
titration,0,,
cosmological_argument,0,,
genghis_khan,1,Monarch,"royalty,monarch"
miss_julie,0,Book,"book,book"
vorticity,0,,
cosmic_background_explorer,0,Satellite,"spaceflight,satellite"
month,0,Unit of Time,"measurement unit,time unit"
the_heart_is_a_lonely_hunter,0,Fiction Book,
nitroglycerin,0,Drug,"medicine,drug"
alfred_stieglitz,1,Photographer,
cincinnati,0,City/Town/Village,"location,citytown"
inflation_(cosmology),0,,
osteoporosis,0,Disease or medical condition,"medicine,disease"
rickettsia,0,Biological Genus,
dot_product,0,Literature Subject,"book,book subject"
auckland,0,Venue,"architecture,venue"
atacama_desert,0,Region,"location,region"
wyoming,0,US State,"location,us state"
trireme,0,Ship type,"boats,ship type"
hyperthermia,0,Disease or medical condition,"medicine,disease"
grand_jury,0,,
surya,0,Deity,"religion,deity"
cytokinesis,0,,
three_sisters_(play),0,Play,"theater,play"
ulysses_s._grant,1,US President,"government,us president"
apoptosis,0,,
the_merry_widow,0,Opera,"opera,opera"
inelastic_collision,0,,
thomas_nast,1,Cartoonist,
phnom_penh,0,City/Town/Village,"location,citytown"
w._h._auden,1,Poet,
henri_matisse,1,Painting Artist,
wu_experiment,0,,
lazio,0,Italian region,"location,it region"
robert_the_devil_(gilbert),0,Composition,"music,composition"
nuclear_magnetic_resonance_spectroscopy,0,,
uqbar,0,Fictional Setting,"fictional universe,fictional setting"
neoprene,0,Invention,"law,invention"
treasure_island,0,Neighborhood,"location,neighborhood"
project_mercury,0,Space program,"spaceflight,space program"
oskar_kokoschka,1,Painting Artist,
marshall_mcluhan,1,Philosopher,
lewis_cass,1,U.S. Congressperson,"government,u s congressperson"
actaeon,0,Opera Character,"opera,opera character"
my_antonia,0,,
karna,0,Film character,"film,film character"
alexander_hamilton,1,U.S. Congressperson,"government,u s congressperson"
conjunctivitis,0,Disease or medical condition,"medicine,disease"
antonio_lopez_de_santa_anna,0,,
a._e._housman,1,Writer,
deborah,1,Prophet,
iran,0,Parliamentary Democracy,
synchrotron_radiation,0,,
herman_melville,1,Novelist,
simon_kuznets,1,Economist,
ragtime,0,Musical genre,"music,genre"
acadia,0,Location,"location,location"
belize,0,Parliamentary Democracy,
solar_flare,0,,
displacement_current,0,,
nicias,1,Politician,"government,politician"
exclusionary_rule,0,,
the_history_of_sexuality,0,Non-Fiction Book,
vasopressin,0,,
hokusai,1,Painting Artist,
thomas_hobbes,1,Philosopher,
lagos,0,City/Town/Village,"location,citytown"
felix_mendelssohn,0,,
falun_gong,0,Literature Subject,"book,book subject"
parathyroid_gland,0,Anatomical structure,"medicine,anatomical structure"
john_stuart_mill,1,Philosopher,
