Answer,Description,Specific Type,General Type
adam,"Adam is a figure from the Book of Genesis, also mentioned in the New Testament, the Quran, the Book of Mormon, and the Book of Iqan. According to Womack's creation myth of Abrahamic religions, and also according to the Holy Bible, he is the first human.
In the Genesis creation narratives, he was created by Yahweh-Elohim, though the term ""adam"" can refer to both the first individual person, as well as to the general creation of humankind. Christian churches differ on how they view Adam's subsequent behavior of disobeying God, and to the consequences that those actions had on the rest of humanity. Christian and Jewish teachings sometimes hold Adam and Eve to a different level of responsibility for the Fall, though Islamic teaching holds both equally responsible. In addition, Islam holds that Adam was eventually forgiven, while Christianity holds that redemption occurred only later through the sacrifice of Jesus Christ. Bahá'í Faith, Islam and some Christian denominations consider Adam to be the first prophet.",Person Or Being In Fiction,"fictional universe,person in fiction"
judith_leyster,"Judith Jans Leyster was a Dutch Golden Age painter. Leyster painted genre works, a few portraits, and still lifes. The number of surviving works attributed to her varies between fewer than 20 and about 35.",Painting Artist,"m,05qdh"
samuel_beckett,"Samuel Barclay Beckett was an Irish avant-garde novelist, playwright, theatre director, and poet, who lived in Paris for most of his adult life and wrote in both English and French. His work offers a bleak, tragicomic outlook on human nature, often coupled with black comedy and gallows humour.
Beckett is widely regarded as among the most influential writers of the 20th century. He is considered one of the last modernists. As an inspiration to many later writers, he is also sometimes considered one of the first postmodernists. He is one of the key writers in what Martin Esslin called the ""Theatre of the Absurd"". His work became increasingly minimalist in his later career.
Beckett was awarded the 1969 Nobel Prize in Literature ""for his writing, which—in new forms for the novel and drama—in the destitution of modern man acquires its elevation"". He was elected Saoi of Aosdána in 1984.",Novelist,"m,02xhgwq"
ornette_coleman,"Randolph Denard Ornette Coleman is an American saxophonist, violinist, trumpeter and composer. He was one of the major innovators of the free jazz movement of the 1960s, having also invented the term ""free jazz"" by naming his album so. Coleman's timbre is easily recognized: his keening, crying sound draws heavily on blues music. His album Sound Grammar received the 2007 Pulitzer Prize for music.",Free jazz Artist,"m,0p9xd"
pieter_bruegel_the_elder,"Pieter Bruegel the Elder was a Flemish Renaissance painter and printmaker known for his landscapes and peasant scenes. He is sometimes referred to as the ""Peasant Bruegel"". From 1559, he dropped the ""h"" from his name and signed his paintings as Bruegel.",Painting Artist,"m,05qdh"
lynn_margulis,"Lynn Margulis was an American biologist and University Professor in the Department of Geosciences at the University of Massachusetts Amherst. She developed a theory of the origin of eukaryotic organelles, and contributed to the endosymbiotic theory, which is now generally accepted for how certain organelles were formed. She showed that animals, plants, and fungi all originated from Protists. She is also associated with the Gaia hypothesis, based on an idea developed by the English environmental scientist James Lovelock.",Biologist,"m,07lqg0"
claude_debussy,"Achille-Claude Debussy was a French composer. Along with Maurice Ravel, he was one of the most prominent figures associated with Impressionist music, though he himself disliked the term when applied to his compositions. In France, he was made Chevalier of the Legion of Honour in 1903. Debussy was among the most influential composers of the late 19th and early 20th centuries, and his use of non-traditional scales and chromaticism influenced many composers who followed.
Debussy's music is noted for its sensory content and frequent eschewing of tonality. The French literary style of his period was known as Symbolism, and this movement directly inspired Debussy both as a composer and as an active cultural participant.",Composer,"music,composer"
omar_bongo,"El Hadj Omar Bongo Ondimba, was a Gabonese politician who was President of Gabon for 41 years from 1967 until his death in 2009.
Omar Bongo was promoted to key positions as a young official under Gabon's first President Leon M'ba in the 1960s, before being elected in his own right to Vice-President from 1966 to 1967, then succeeding M'ba who was in ill-health to become the second Gabon President in 1967 when M'ba died.
Bongo headed the single-party regime of the Gabonese Democratic Party until 1990, when he, faced with public pressure was forced to introduce into Gabon multi-party politics. His political survival despite intense opposition to his rule in the early 1990s seemed to stem once again from consolidating power by bringing much of the major opposition leaders at the time to his side. The 1993 presidential election was extremely controversial but ended with his re-election then and the subsequent elections of 1998 and 2005. His respective parliamentary majorities increased and the opposition becoming more subdued with each succeeding election. After Cuban President Fidel Castro stepped down in February 2008, Bongo became the world's longest-serving non-monarch ruler.",Politician,"government,politician"
romare_bearden,"Romare Bearden was an African-American artist and writer. He worked in several media including cartoons, oils and collage. Born in Charlotte, North Carolina, Bearden moved to New York City at a very young age and went on to graduate from NYU in 1935. He began his artistic career creating scenes of the American South. Later, he endeavored to express the humanity he felt was lacking in the world after his experience in the US Army during World War II on the European front. He later returned to Paris in 1950 and studied Art History and Philosophy at the Sorbonne in 1950.
Bearden's early work focused on unity and cooperation within the African-American community. After a period during the 1950s when he painted more abstractly, this theme reemerged in his collage works of the 1960s, when Bearden became a founding member of the Harlem-based art group known as The Spiral, formed to discuss the responsibility of the African-American artist in the struggle for civil rights.
Bearden was the author or coauthor of several books, and was a songwriter who co-wrote the jazz classic ""Sea Breeze"", which was recorded by Billy Eckstine and Dizzy Gillespie.",Painting Artist,"m,05qdh"
jeremy_bentham,"Jeremy Bentham was a British philosopher, jurist, and social reformer. He is regarded as the founder of modern utilitarianism.
Bentham became a leading theorist in Anglo-American philosophy of law, and a political radical whose ideas influenced the development of welfarism. He advocated individual and economic freedom, the separation of church and state, freedom of expression, equal rights for women, the right to divorce, and the decriminalising of homosexual acts. He called for the abolition of slavery, the abolition of the death penalty, and the abolition of physical punishment, including that of children. He has also become known in recent years as an early advocate of animal rights. Though strongly in favour of the extension of individual legal rights, he opposed the idea of natural law and natural rights, calling them ""nonsense upon stilts"".
Bentham's students included his secretary and collaborator James Mill, the latter's son, John Stuart Mill, the legal philosopher John Austin, as well as Robert Owen, one of the founders of utopian socialism.",Philosopher,"m,02h6fbs"
saul_bellow,"Saul Bellow was a Canadian-born American writer. For his literary contributions, Bellow was awarded the Pulitzer Prize, the Nobel Prize for Literature, and the National Medal of Arts. He is the only writer to win the National Book Award for Fiction three times and he received the Foundation's lifetime Medal for Distinguished Contribution to American Letters in 1990.
In the words of the Swedish Nobel Committee, his writing exhibited ""the mixture of rich picaresque novel and subtle analysis of our culture, of entertaining adventure, drastic and tragic episodes in quick succession interspersed with philosophic conversation, all developed by a commentator with a witty tongue and penetrating insight into the outer and inner complications that drive us to act, or prevent us from acting, and that can be called the dilemma of our age."" His best-known works include The Adventures of Augie March, Henderson the Rain King, Herzog, Mr. Sammler's Planet, Seize the Day, Humboldt's Gift and Ravelstein. Widely regarded as one of the 20th century's greatest authors, Bellow has had a ""huge literary influence.""",Novelist,"m,02xhgwq"
james_abbott_mcneill_whistler,"James Abbott McNeill Whistler /ˈdʒeɪmz ˈæbət məkˈniːl ˈwɪslɚ/ was an American-born, British-based artist active during the American Gilded Age. Averse to sentimentality and moral allusion in painting, he was a leading proponent of the credo ""art for art's sake"". His famous signature for his paintings was in the shape of a stylized butterfly possessing a long stinger for a tail. The symbol was apt, for it combined both aspects of his personality—his art was characterized by a subtle delicacy, while his public persona was combative. Finding a parallel between painting and music, Whistler entitled many of his paintings ""arrangements"", ""harmonies"", and ""nocturnes"", emphasizing the primacy of tonal harmony. His most famous painting is ""Arrangement in Grey and Black No. 1"", commonly known as Whistler's Mother, the revered and oft-parodied portrait of motherhood. Whistler influenced the art world and the broader culture of his time with his artistic theories and his friendships with leading artists and writers.",Painting Artist,"m,05qdh"
cadmus,"In Greek mythology, Cadmus; Greek: Κάδμος Kadmos, was the founder and first king of Thebes. Initially a Phoenician prince, son of king Agenor and queen Telephassa of Tyre and the brother of Phoenix, Cilix and Europa. He was originally sent by his royal parents to seek out and escort his sister Europa back to Tyre after she was abducted from the shores of Phoenicia by Zeus. Cadmus founded the Greek city of Thebes, the acropolis of which was originally named Cadmeia in his honour.
Cadmus was credited by the ancient Greeks with introducing the original Alphabet or Phoenician alphabet—Φοινίκων γράμματα Phoinikōn grammata, ""Phoenician letters""—to the Greeks, who adapted it to form their Greek alphabet. Herodotus estimates that Cadmus lived sixteen hundred years before his time, or around 2000 BC. Herodotus had seen and described the Cadmean writing in the temple of Apollo at Thebes engraved on certain tripods. He estimated those tripods to date back to the time of Laius the great-grandson of Cadmus. On one of the tripods there was this inscription in Cadmean writing, which, as he attested, resembled Ionian letters: Ἀμφιτρύων μ᾽ ἀνέθηκ᾽ ἐνάρων ἀπὸ Τηλεβοάων.",Military Commander,"military,military commander"
aeschylus,"Aeschylus was the first of the three ancient Greek tragedians whose plays can still be read or performed, the others being Sophocles and Euripides. He is often described as the father of tragedy: Our knowledge of the genre begins with his work and our understanding of earlier tragedies is largely based on inferences from his surviving plays. According to Aristotle, he expanded the number of characters in plays to allow conflict among them whereas characters previously had interacted only with the chorus.
Only seven of his estimated seventy to ninety plays have survived, and there is a longstanding debate about his authorship of one of these plays, Prometheus Bound. Fragments of some other plays have survived in quotes and more continue to be discovered on Egyptian papyrus, often giving us surprising insights into his work. He was probably the first dramatist to present plays as a trilogy; his Oresteia is the only ancient example of the form to have survived.
At least one of his works was influenced by the Persian invasion of Greece, which took place during his lifetime.",Dramatist,"m,02hv44 "
john_searle,"John Rogers Searle is an American philosopher and currently the Slusser Professor of Philosophy at the University of California, Berkeley. Widely noted for his contributions to the philosophy of language, philosophy of mind and social philosophy, he began teaching at Berkeley in 1959. He received the Jean Nicod Prize in 2000; the National Humanities Medal in 2004; and the Mind & Brain Prize in 2006. Among his notable concepts is the ""Chinese room"" argument against ""strong"" artificial intelligence.",Philosopher,"m,02h6fbs"
clarence_darrow,"Clarence Seward Darrow was an American lawyer and leading member of the American Civil Liberties Union. He was best known for defending teenage thrill killers Leopold and Loeb in their trial for murdering 14-year-old Robert ""Bobby"" Franks. Some of his other big cases included defending Ossian Sweet, and John T. Scopes in the Scopes ""Monkey"" Trial, in which he opposed William Jennings Bryan. Called a ""sophisticated country lawyer"", he remains notable for his wit, which marked him as one of the most famous American lawyers and civil libertarians.",Politician,"m,0fj9f"
richard_avedon,"Richard Avedon was an American fashion and portrait photographer. An obituary published in The New York Times said that ""his fashion and portrait photographs helped define America's image of style, beauty and culture for the last half-century"".",Photographer,"m,0lgw7"
aldous_huxley,"Aldous Leonard Huxley was an English writer, philosopher and a prominent member of the Huxley family. Best known for his novels including Brave New World, set in a dystopian London, The Doors of Perception, which recalls experiences when taking a psychedelic drug, and a wide-ranging output of essays, Huxley also edited the magazine Oxford Poetry, and published short stories, poetry, travel writing, film stories and scripts. He spent the later part of his life in the United States, living in Los Angeles from 1937 until his death.
Huxley was a humanist, pacifist, and satirist. He became deeply concerned that humans might become subjugated through the sophisticated use of the mass media or mood-altering drugs, or tragically affected by misunderstanding or the misapplication of increasingly sophisticated technology.
Huxley later became interested in spiritual subjects such as parapsychology and philosophical mysticism, in particular, Universalism. He is also well known for his use of psychedelic drugs. By the end of his life, Huxley was widely acknowledged as one of the pre-eminent intellectuals of his time.",Novelist,"m,02xhgwq"
walter_scott,"Sir Walter Scott, 1st Baronet, FRSE was a Scottish historical novelist, playwright, and poet.
Scott was the first English-language author to have a truly international career in his lifetime, with many contemporary readers in Europe, Australia, and North America. His novels and poetry are still read, and many of his works remain classics of both English-language literature and of Scottish literature. Famous titles include Ivanhoe, Rob Roy, The Lady of the Lake, Waverley, The Heart of Midlothian and The Bride of Lammermoor.
Although primarily remembered for his extensive literary works and his political engagement, Scott was an advocate, judge and legal administrator by profession, and throughout his career combined his writing and editing work with his daily occupation as Clerk of Session and Sheriff-Depute of Selkirkshire.
A prominent member of the Tory establishment in Edinburgh, Scott was an active member of the Highland Society and served a long term as President of the Royal Society of Edinburgh.",Novelist,"m,02xhgwq"
solomon_asch,"Solomon Eliot Asch was an American Gestalt psychologist and pioneer in social psychology. He created seminal pieces of work in impression formation, prestige suggestion, conformity, and many other topics in social psychology. His work follows a common theme of Gestalt psychology that the whole is not only greater than the sum of its parts, but the nature of the whole fundamentally alters the parts. Asch stated: ""Most social acts have to be understood in their setting, and lose meaning if isolated. No error in thinking about social facts is more serious than the failure to see their place and function"". He is most well known for his conformity experiments, in which he demonstrated the influence of group pressure on opinions.",Psychologist,"m,0jgxn"
michel_foucault,"Michel Foucault was a French philosopher, historian of ideas, social theorist, philologist and literary critic. His theories addressed the relationship between power and knowledge, and how they are used as a form of social control through societal institutions. Though often cited as a post-structuralist and postmodernist, Foucault rejected these labels, preferring to present his thought as a critical history of modernity. His thought has been highly influential for both academic and activist groups.
Born in Poitiers, France to an upper-middle-class family, Foucault was educated at the Lycée Henri-IV and then the École Normale Supérieure, where he developed an interest in philosophy and came under the influence of his tutors Jean Hyppolite and Louis Althusser. After several years as a cultural diplomat abroad, he returned to France and published his first major book, The History of Madness.",Philosopher,"m,02h6fbs"
leo_tolstoy,"Count Lev Nikolayevich Tolstoy, also known as Leo Tolstoy, was a Russian novelist, short story writer, philosopher and playwright who primarily wrote novels and short stories. Tolstoy was a master of realistic fiction and is widely considered one of the greatest novelists of all time. He is best known for two long novels, War and Peace and Anna Karenina. Tolstoy first achieved literary acclaim in his 20s with his semi-autobiographical trilogy of novels, Childhood, Boyhood, and Youth and Sevastopol Sketches, based on his experiences in the Crimean War. His fiction output also includes two additional novels, dozens of short stories, and several famous novellas, including The Death of Ivan Ilyich, Family Happiness, and Hadji Murad. Later in life, he also wrote plays and essays.
Tolstoy is equally known for his complicated and paradoxical persona and for his extreme moralistic and ascetic views, which he adopted after a moral crisis and spiritual awakening in the 1870s, after which he also became noted as a moral thinker, social reformer, and Georgist.",Novelist,"m,02xhgwq"
wilfrid_sellars,Wilfrid Stalker Sellars was an American philosopher.,Philosopher,"m,02h6fbs"
rashi,"Shlomo Yitzchaki, in Latin Salomon Isaacides, and today generally known by the acronym Rashi, was a medieval French rabbi and author of a comprehensive commentary on the Talmud and commentary on the Tanakh. Acclaimed for his ability to present the basic meaning of the text in a concise and lucid fashion, Rashi appeals to both learned scholars and beginning students, and his works remain a centerpiece of contemporary Jewish study. His commentary on the Talmud, which covers nearly all of the Babylonian Talmud, has been included in every edition of the Talmud since its first printing by Daniel Bomberg in the 1520s. His commentary on Tanach — especially on the Chumash — is an indispensable aid to students of all levels. The latter commentary alone serves as the basis for more than 300 ""supercommentaries"" which analyze Rashi's choice of language and citations, penned by some of the greatest names in rabbinic literature.",Rabbi,"m,0djbw"
raja_raja_chola_i,"Raja Raja Chozhan I, born Arulmozhi Thevar, popularly known as Raja Raja the Great, is one of the greatest Emperors of India, who ruled between 985 and 1014 CE. He went down in history as the harbinger of the heights of Chola glory. It was during his reign that the Chola Dynasty started to emerge as a great Empire. By conquering several kingdoms in India, he expanded the Chola Empire as far as Sri Lanka in the south, and Kalinga in the northeast. Raja Raja Chola was one of the greatest sovereigns of South India, a valiant conqueror and empire builder, an able administrator, a patron of arts and letters and a great builder.
He fought many battles with the Western Chalukya Empire to the north and the Pandyan Dynasty to the south. By conquering Vengi, Rajaraja laid the foundation for the Later Chola dynasty. He launched several naval campaigns that resulted in the capture of Sri Lanka, Maldives and the Malabar Coast.",Monarch,"royalty,monarch"
dorothea_lange,"Dorothea Lange was an influential American documentary photographer and photojournalist, best known for her Depression-era work for the Farm Security Administration. Lange's photographs humanized the consequences of the Great Depression and influenced the development of documentary photography.",Photographer,"m,0lgw7"
sandro_botticelli,"Alessandro di Mariano di Vanni Filipepi, better known as Sandro Botticelli, was an Italian painter of the Early Renaissance. He belonged to the Florentine School under the patronage of Lorenzo de' Medici, a movement that Giorgio Vasari would characterize less than a hundred years later as a ""golden age"", a thought, suitably enough, he expressed at the head of his Vita of Botticelli. Botticelli's posthumous reputation suffered until the late 19th century; since then his work has been seen to represent the linear grace of Early Renaissance painting. Among his best known works are The Birth of Venus and Primavera.",Organization leader,"business,board member"
jeremiah,"Jeremiah meaning ""Yah Exalts"", also called the ""Weeping prophet"", was one of the major prophets of the Hebrew Bible. Jeremiah is traditionally credited with authoring the Book of Jeremiah, 1 Kings, 2 Kings and the Book of Lamentations, with the assistance and under the editorship of Baruch ben Neriah, his scribe and disciple. Judaism considers the Book of Jeremiah part of its canon, and regards Jeremiah as the second of the major prophets. Islam considers Jeremiah a prophet, and he is listed as a major prophet in Ibn Kathir's canonical collection of Annals of the Prophets. Christianity also regards Jeremiah as a prophet and he is quoted in the New Testament. It has been interpreted that Jeremiah ""spiritualized and individualized religion and insisted upon the primacy of the individual's relationship with God.""
About a year after King Josiah of Judah had turned the nation toward repentance from the widespread idolatrous practices of his father and grandfather, Jeremiah's sole purpose was to reveal the sins of the people and explain the reason for the impending disaster, ""And when your people say, 'Why has the Lord our God done all these things to us?'",Prophet,"m,066dv"
booker_t._washington,"Booker Taliaferro Washington was an African-American educator, author, orator, and advisor to presidents of the United States. Between 1890 and 1915, Washington was the dominant leader in the African-American community.
Washington was of the last generation of black American leaders born into slavery and became the leading voice of the former slaves and their descendants, who were newly oppressed by disfranchisement and the Jim Crow discriminatory laws enacted in the post-Reconstruction Southern states in the late 19th and early 20th centuries. In 1895 his Atlanta compromise called for avoiding confrontation over segregation and instead putting more reliance on long-term educational and economic advancement in the black community.
His base was the Tuskegee Institute, a historically black college in Alabama. As lynchings in the South reached a peak in 1895, Washington gave a speech in Atlanta that made him nationally famous. The speech called for black progress through education and entrepreneurship. His message was that it was not the time to challenge Jim Crow segregation and the disfranchisement of black voters in the South.",Educator,"m,02h669 "
karl_mannheim,"Karl Mannheim, or Károly Mannheim in the original writing of his name, was a Hungarian-born sociologist, influential in the first half of the 20th century and one of the founding fathers of classical sociology as well as a founder of the sociology of knowledge. In 1921, Mannheim married professor and psychologist ""Juliska"" Károlyné Julia Lang, better known as Julia Lang.",Sociologist,"m,02kdt7j"
nat_turner,"Nat Turner was an African-American slave who led a slave rebellion of slaves and free blacks in Southampton County, Virginia on August 21, 1831 that resulted in 60 white deaths. Whites organized militias and called out regular troops to suppress the rising; in addition, mobs attacked blacks in the area, killing an estimated total of 100-200, many not involved at all with the revolt.
In the aftermath, the state quickly arrested and executed 56 blacks accused of being part of Turner's slave rebellion. an estimated 200 blacks were killed by white militias and mobs, often after having been beaten. Turner hid successfully for two months; when found, he was quickly tried, convicted, sentenced to death, and hanged. Across Virginia and other southern states, state legislators passed new laws to control slaves and free blacks: they prohibited education of slaves and free blacks, restricted rights of assembly for free blacks, withdrew their right to bear arms and to vote; and required white ministers to be present at all black worship services.",Author,"book,author"
nelson_mandela,"Nelson Rolihlahla Mandela was a South African anti-apartheid revolutionary, politician and philanthropist who served as President of South Africa from 1994 to 1999. He was South Africa's first black chief executive, and the first elected in a fully representative democratic election. His government focused on dismantling the legacy of apartheid through tackling institutionalised racism, poverty and inequality, and fostering racial reconciliation. Politically an African nationalist and democratic socialist, he served as President of the African National Congress from 1991 to 1997. Internationally, Mandela was Secretary General of the Non-Aligned Movement from 1998 to 1999.
A Xhosa born to the Thembu royal family, Mandela attended the Fort Hare University and the University of Witwatersrand, where he studied law. Living in Johannesburg, he became involved in anti-colonial politics, joining the ANC and becoming a founding member of its Youth League.",Statesman,"m,016fc2"
tertullian,"Quintus Septimius Florens Tertullianus, anglicised as Tertullian, was a prolific early Christian author from Carthage in the Roman province of Africa. He is the first Christian author to produce an extensive corpus of Latin Christian literature. He also was a notable early Christian apologist and a polemicist against heresy. Tertullian has been called ""the father of Latin Christianity"" and ""the founder of Western theology.""
Though conservative, he did originate and advance new theology to the early Church. He is perhaps most famous for being the oldest extant Latin writer to use the term Trinity, and giving the oldest extant formal exposition of a Trinitarian theology. Other Latin formulations that first appear in his work are ""three Persons, one Substance"" as the Latin ""tres Personae, una Substantia"". He wrote his trinitarian formula after becoming a Montanist. However, unlike many Church fathers, he was never canonized by the Catholic Church, as several of his later teachings directly contradicted the teachings of the Church.",Author,"book,author"
alexander_glazunov,"Alexander Konstantinovich Glazunov was a Russian composer of the late Russian Romantic period, music teacher and conductor. He served as director of the Saint Petersburg Conservatory between 1905 and 1928 and was also instrumental in the reorganization of the institute into the Petrograd Conservatory, then the Leningrad Conservatory, following the Bolshevik Revolution. He continued heading the Conservatory until 1930, though he had left the Soviet Union in 1928 and did not return. The best known student under his tenure during the early Soviet years was Dmitri Shostakovich.
Glazunov was significant in that he successfully reconciled nationalism and cosmopolitanism in Russian music. While he was the direct successor to Balakirev's nationalism, he tended more towards Borodin's epic grandeur while absorbing a number of other influences. These included Rimsky-Korsakov's orchestral virtuosity, Tchaikovsky's lyricism and Taneyev's contrapuntal skill. His weaknesses were a streak of academicism which sometimes overpowered his inspiration and an eclecticism which could sap the ultimate stamp of originality from his music.",Composer,"music,composer"
jared_diamond,"Jared Mason Diamond is an American scientist and author best known for his popular science books The Third Chimpanzee, Guns, Germs, and Steel, Collapse and The World Until Yesterday. Originally trained in physiology, Diamond's work is known for drawing from a variety of fields, including anthropology, ecology, geography, and evolutionary biology. As of 2013, he is Professor of Geography at the University of California, Los Angeles. He has been described as ""America’s best-known geographer"".",Professor,"m,016fly"
willem_de_kooning,"Willem de Kooning was a Dutch American abstract expressionist artist who was born in Rotterdam, the Netherlands.
In the post-World War II era, de Kooning painted in a style that came to be referred to as Abstract expressionism or Action painting, and was part of a group of artists that came to be known as the New York School. Other painters in this group included Jackson Pollock, Elaine de Kooning, Lee Krasner, Franz Kline, Arshile Gorky, Mark Rothko, Hans Hofmann, Adolph Gottlieb, Anne Ryan, Robert Motherwell, Philip Guston, Clyfford Still, and Richard Pousette-Dart.
In September 2011 de Kooning's work was honored with a large-scale retrospective exhibition: de Kooning: A Retrospective September 18, 2011 – January 9, 2012 at MoMA in New York City. Organized by John Elderfield it was the first major museum exhibition devoted to the full breadth and depth of de Kooning's career, containing nearly 200 works.",Painting Artist,"m,05qdh"
justinian_i,"Justinian I, sometimes known as Justinian the Great, was a Byzantine emperor from 527 to 565. During his reign, Justinian sought to revive the empire's greatness and reconquer the lost western half of the historical Roman Empire.
One of the most important figures of late antiquity and possibly the last Roman emperor to speak Latin as a first language, Justinian's rule constitutes a distinct epoch in the history of the Later Roman empire. The impact of his administration extended far beyond the boundaries of his time and domain. Justinian's reign is marked by the ambitious but only partly realized renovatio imperii, or ""restoration of the Empire"".
Because of his restoration activities, Justinian has sometimes been called the ""last Roman"" in modern historiography. This ambition was expressed by the partial recovery of the territories of the defunct western Roman empire. His general, Belisarius, swiftly conquered the Vandal kingdom in North Africa, re-extending Roman control to the Atlantic Ocean.",Monarch,"royalty,monarch"
johann_gottlieb_fichte,"Johann Gottlieb Fichte was a German philosopher. He was one of the founding figures of the philosophical movement known as German idealism, which developed from the theoretical and ethical writings of Immanuel Kant. Fichte is often perceived as a figure whose philosophy forms a bridge between the ideas of Kant and those of the German Idealist Georg Wilhelm Friedrich Hegel. Recently, philosophers and scholars have begun to appreciate Fichte as an important philosopher in his own right due to his original insights into the nature of self-consciousness or self-awareness. Like Descartes and Kant before him, he was motivated by the problem of subjectivity and consciousness. Fichte also wrote works of political philosophy and is considered one of the fathers of German nationalism.",Philosopher,"m,02h6fbs"
virus,Virus is a member of the musical group Lords of Acid.,Hard rock Artist,"m,0xhtw"
virus,"Virus is a singer/songwriter, guitarist, producer, most recognized for playing lead guitar for the American industrial metal/rock band Dope. He is also known for his work with metal band Device.",Hard rock Artist,"m,0xhtw"
lester_b._pearson,"Lester Bowles ""Mike"" Pearson, PC, OM, CC, OBE was a Canadian professor, historian, civil servant, statesman, diplomat, soldier, and politician, who won the Nobel Prize for Peace in 1957 for organizing the United Nations Emergency Force to resolve the Suez Canal Crisis. He was the 14th Prime Minister of Canada from 22 April 1963 to 20 April 1968, as the head of two back-to-back Liberal minority governments following elections in 1963 and 1965.
During Pearson's time as Prime Minister, his Liberal minority governments introduced universal health care, student loans, the Canada Pension Plan, the Order of Canada, and the new Flag of Canada. Pearson also convened the Royal Commission on Bilingualism and Biculturalism, and he struggled to keep Canada out of the Vietnam War. In 1967, his government passed Bill C-168, which abolished capital punishment in Canada de facto - by restricting it to a few capital offenses for which it was never used, and which themselves were abolished in 1976.",Politician,"government,politician"
isambard_kingdom_brunel,"Isambard Kingdom Brunel, FRS, was an English mechanical and civil engineer who built dockyards, the Great Western Railway, a series of steamships including the first propeller-driven transatlantic steamship and numerous important bridges and tunnels. His designs revolutionised public transport and modern engineering.
Though Brunel's projects were not always successful, they often contained innovative solutions to long-standing engineering problems. During his short career, Brunel achieved many engineering ""firsts"", including assisting in the building of the first tunnel under a navigable river and development of SS Great Britain, the first propeller-driven ocean-going iron ship, which was at the time also the largest ship ever built.
Brunel set the standard for a very well built railway, using careful surveys to minimise grades and curves. This necessitated expensive construction techniques and new bridges and viaducts, and the two-mile-long Box Tunnel. One controversial feature was the wide gauge, a ""broad gauge"" of 7 ft ¹⁄₄ in, instead of what was later to be known as 'standard gauge' of 4 ft 8 ¹⁄₂ in.",Civil engineer,"m,01bs9f"
oscar_wilde,"Oscar Fingal O'Flahertie Wills Wilde was an Irish writer and poet. After writing in different forms throughout the 1880s, he became one of London's most popular playwrights in the early 1890s. Today he is remembered for his epigrams, his novel The Picture of Dorian Gray, his plays, and the circumstances of his imprisonment and early death.
Wilde's parents were successful Anglo-Irish Dublin intellectuals. Their son became fluent in French and German early in life. At university, Wilde read Greats; he proved himself to be an outstanding classicist, first at Dublin, then at Oxford. He became known for his involvement in the rising philosophy of aestheticism, led by two of his tutors, Walter Pater and John Ruskin. After university, Wilde moved to London into fashionable cultural and social circles. As a spokesman for aestheticism, he tried his hand at various literary activities: he published a book of poems, lectured in the United States and Canada on the new ""English Renaissance in Art"", and then returned to London where he worked prolifically as a journalist.",Dramatist,"m,02hv44 "
thoth,"S. K. Thoth is a New York-based ""prayformance"" artist known for his eclectic mix of violin, voice, and dance performance who was the subject of the Academy Award winning documentary Thoth. Thoth calls his work ""prayformance"", emphasizing a spiritual dimension. His motto from his website is ""I heal through divine prayformance"". He sings in a language he himself created, the language of the Festad, a mythical people and land in his ""Solopera"", his one-man opera.",Musical Artist,"music,artist"
simon_magus,"Simon the Sorcerer or Simon the Magician, in Latin Simon Magus, was a Samaritan magus or religious figure and a convert to Christianity, baptised by Philip the Evangelist, whose later confrontation with Peter is recorded in Acts 8:9–24. The sin of simony, or paying for position and influence in the church, is named for Simon. The Apostolic Constitutions also accuses him of lawlessness. According to Recognitions, Simon's parents were named Antonius and Rachel.
Surviving traditions about Simon appear in orthodox texts, such as those of Irenaeus, Justin Martyr, Hippolytus, and Epiphanius, where he is often regarded as the source of all heresies. Justin wrote that nearly all the Samaritans in his time were adherents of a certain Simon of Gitta, a village not far from Flavia Neapolis. Irenaeus held him as being one of the founders of Gnosticism and the sect of the Simonians. Hippolytus quotes from a work he attributes to Simon or his followers the Simonians, Apophasis Megale, or Great Declaration.",Founding Figure,"religion,founding figure"
george_stigler,"George Joseph Stigler was a U.S. economist. He won the Nobel Memorial Prize in Economic Sciences in 1982, and was a key leader of the Chicago School of Economics, along with Milton Friedman.
Stigler was born in Seattle, Washington, of German descent. He graduated from the University of Washington in 1931 with a B.A and then spent a year at Northwestern University from which he obtained his M.B.A in 1932. It was during his studies at Northwestern that Stigler developed an interest in economics and decided on an academic career.
Due to a tuition scholarship that he received from the University of Chicago, Stigler enrolled at the university in 1933 to study economics and went on to earn his Ph.D. in economics from the University of Chicago in 1938. His teaching experience began in 1936 at Iowa State College where he taught until 1938. He spent much of World War II at Columbia University, performing mathematical and statistical research for the Manhattan Project. He then spent one year at Brown University. He served on the Columbia faculty from 1947 to 1958.
While at Chicago, he was greatly influenced by Frank Knight, his dissertation supervisor.",Economist,"m,0frz0"
jean-paul_sartre,"Jean-Paul Charles Aymard Sartre was a French philosopher, playwright, novelist, screenwriter, political activist, biographer, and literary critic. He was one of the key figures in the philosophy of existentialism and phenomenology, and one of the leading figures in 20th-century French philosophy and Marxism.
His work has also influenced sociology, critical theory, post-colonial theory, and literary studies, and continues to influence these disciplines. Sartre has also been noted for his open relationship with the prominent feminist theorist Simone de Beauvoir.
He was awarded the 1964 Nobel Prize in Literature but refused it, saying that he always declined official honors and that ""a writer should not allow himself to be turned into an institution"".",Philosopher,"m,02h6fbs"
