Answer,Description,Specific Type,General Type
fine-structure_constant,"In physics, the fine-structure constant, also known as Sommerfeld's constant, commonly denoted α, is a fundamental physical constant, namely the coupling constant characterizing the strength of the electromagnetic interaction between elementary charged particles. Being a dimensionless quantity, it has the same numerical value in all systems of units. Arnold Sommerfeld introduced the fine-structure constant in 1916.
The currently accepted value of α is 7.29735257×10^−3.",,
pandava,"In a historical account of the great Bharata war recounted as a Hindu epic text the Mahabharata, the Pandava are the five acknowledged sons of Pandu, by his two wives Kunti and Madri. Their names are Yudhisthira, Bhima, Arjuna, Nakula and Sahadeva. All five brothers were married to the same woman, Draupadi.
Together, the brothers fought and prevailed in a great war against their cousins the Kauravas, which came to be known as the Battle of Kurukshetra.",,
albatross,"Albatrosses, of the biological family Diomedeidae, are large seabirds allied to the procellariids, storm petrels and diving petrels in the order Procellariiformes. They range widely in the Southern Ocean and the North Pacific. They are absent from the North Atlantic, although fossil remains show they once occurred there and occasional vagrants are found. Albatrosses are among the largest of flying birds, and the great albatrosses have the largest wingspans of any extant birds, reaching up to 12 feet. The albatrosses are usually regarded as falling into four genera, but there is disagreement over the number of species.
Albatrosses are highly efficient in the air, using dynamic soaring and slope soaring to cover great distances with little exertion. They feed on squid, fish and krill by either scavenging, surface seizing or diving. Albatrosses are colonial, nesting for the most part on remote oceanic islands, often with several species nesting together. Pair bonds between males and females form over several years, with the use of ""ritualised dances"", and will last for the life of the pair.",Biological Family,"m,0fl35"
adriatic_sea,"The Adriatic Sea is a body of water separating the Italian Peninsula from the Balkan peninsula and the Apennine Mountains from the Dinaric Alps and adjacent ranges. The Adriatic is the northernmost arm of the Mediterranean Sea, extending from the Strait of Otranto to the northwest and the Po Valley. The countries with coasts on the Adriatic are Italy, Croatia, Albania, Montenegro, Bosnia-Herzegovina, and Slovenia. The Adriatic contains over 1,300 islands, mostly located along its eastern, Croatian, coast. It is divided into three basins, the northern being the shallowest and the southern being the deepest, with a maximum depth of 1,233 metres. The Otranto Sill, an underwater ridge, is located at the border between the Adriatic and Ionian Seas. The prevailing currents flow counterclockwise from the Strait of Otranto, along the eastern coast and back to the strait along the western coast. Tidal movements in the Adriatic are slight, although larger amplitudes are known to occur occasionally. The Adriatic's salinity is lower than the Mediterranean's because the Adriatic collects a third of the fresh water flowing into the Mediterranean, acting as a dilution basin.",Sea,"m,06npx"
brook_farm,"Brook Farm, also called the Brook Farm Institute of Agriculture and Education or the Brook Farm Association for Industry and Education, was a utopian experiment in communal living in the United States in the 1840s. It was founded by former Unitarian minister George Ripley and his wife Sophia Ripley at the Ellis Farm in West Roxbury, Massachusetts in 1841 and was inspired in part by the ideals of Transcendentalism, a religious and cultural philosophy based in New England. Founded as a joint stock company, it promised its participants a portion of the profits from the farm in exchange for performing an equal share of the work. Brook Farmers believed that by sharing the workload, ample time would be available for leisure activities and intellectual pursuits.
Life on Brook Farm was based on balancing labor and leisure while working together for the benefit of the greater community. Each member could choose to do whatever work they found most appealing and all were paid equally, including women. Revenue for the community came from farming and from selling handmade products like clothing as well as through fees paid by the many visitors to Brook Farm.",Location,"location,location"
umayyad_caliphate,"The Umayyad Caliphate was the second of the four major Islamic caliphates established after the death of Muhammad. This caliphate was centered on the Umayyad dynasty, hailing from Mecca. The Umayyad family had first come to power under the third caliph, Uthman ibn Affan, but the Umayyad regime was founded by Muawiya ibn Abi Sufyan, long-time governor of Syria, after the end of the First Muslim Civil War in 661 CE/41 AH. Syria remained the Umayyads' main power base thereafter, and Damascus was their capital. The Umayyads continued the Muslim conquests, incorporating the Caucasus, Transoxiana, Sindh, the Maghreb and the Iberian Peninsula into the Muslim world. At its greatest extent, the Umayyad Caliphate covered 5.17 million square miles, making it the largest empire the world had yet seen, and the fifth largest ever to exist.
At the time, the Umayyad taxation and administrative practice were perceived as unjust by some Muslims. The non-Muslim population had autonomy; their judicial matters were dealt with in accordance with their own laws and by their own religious heads or their appointees, although they did pay a poll tax for policing to the central state.",Country,"location,country"
holden_caulfield,"Holden Caulfield is the fictional teenage protagonist and narrator of author J. D. Salinger's 1951 novel The Catcher in the Rye. Since the book's publication, Holden has become an icon for teenage rebellion and angst, and now stands among the most important characters of 20th-century American literature. The name Holden Caulfield was used in an unpublished short story written in 1942 and first appeared in print in 1945.
Although it has been conjectured that J. D. Salinger got the name for Holden Caulfield in The Catcher in the Rye when he saw a marquee for Dear Ruth, starring William Holden and Joan Caulfield, Salinger's first Holden Caulfield story, ""I'm Crazy,"" appeared in Collier's on December 22, 1945, a year and a half before this movie was released.",Book Character,"book,book character"
"anarchy,_state,_and_utopia","Anarchy, State, and Utopia is a 1974 book by the American political philosopher Robert Nozick. It won the 1975 U.S. National Book Award in category Philosophy and Religion, has been translated into 11 languages, and was named one of the ""100 most influential books since the war"" by the U.K. Times Literary Supplement.
In opposition to A Theory of Justice by John Rawls, and in debate with Michael Walzer, Nozick argues in favor of a minimal state, ""limited to the narrow functions of protection against force, theft, fraud, enforcement of contracts, and so on."" When a state takes on more responsibilities than these, Nozick argues, rights will be violated. To support the idea of the minimal state, Nozick presents an argument that illustrates how the minimalist state arises naturally from anarchy and how any expansion of state power past this minimalist threshold is unjustified.",Non-Fiction Book,"m,05h83"
philosophical_skepticism,"Philosophical skepticism is both a philosophical school of thought and a method that crosses disciplines and cultures.
It is generally agreed that knowledge requires justification. It is not enough to have a true belief, you must also have good reasons for that belief. Skeptics claim that it is not possible to have an adequate justification.
Skepticism is not a single position but covers a range of different positions. In the ancient world there were two main skeptical traditions. Academic skepticism took the dogmatic position that knowledge wasn't possible; Pyrrhonian skeptics refused to take a dogmatic position on any issue—including skepticism. Radical skepticism ends in the paradoxical claim that you cannot know anything—including that you cannot know anything!
Skepticism can be classified according to its scope. Local skepticism involves being skeptical about particular areas of knowledge, e.g. moral skepticism, skepticism about the external world, or skepticism about other minds, whereas global skepticism is skeptical about the possibility of any knowledge at all.
Skepticism can also be classified according to its method.",,
raman_scattering,"Raman scattering or the Raman effect is the inelastic scattering of a photon. It was discovered by C. V. Raman and K. S. Krishnan in liquids, and by G. Landsberg and L. I. Mandelstam in crystals. The effect had been predicted theoretically by Adolf Smekal in 1923.
When photons are scattered from an atom or molecule, most photons are elastically scattered, such that the scattered photons have the same energy as the incident photons. A small fraction of the scattered photons are scattered by an excitation, with the scattered photons having a frequency different from, and usually lower than, that of the incident photons. In a gas, Raman scattering can occur with a change in energy of a molecule due to a transition. Chemists are primarily concerned with the transitional Raman effect.",,
fasting,"Fasting is primarily an act of willing abstinence or reduction from certain or all food, drink, or both, for a period of time. An absolute fast is normally defined as abstinence from all food and liquid for a defined period, usually a single day, or several days. Other fasts may be only partially restrictive, limiting particular foods or substances. The fast may also be intermittent in nature. Fasting practices may preclude sexual intercourse and other activities as well as food.
In a physiological context, fasting may refer to the metabolic status of a person who has not eaten overnight, and to the metabolic state achieved after complete digestion and absorption of a meal. Several metabolic adjustments occur during fasting, and some diagnostic tests are used to determine a fasting state. For example, a person is assumed to be fasting after 8–12 hours from their last meal. Metabolic changes toward the fasting state begin after absorption of a meal; ""post-absorptive state"" is synonymous with this usage, in contrast to the postprandial state of ongoing digestion.",Religious Practice,"religion,religious practice"
zeus,"Zeus is the ""Father of Gods and men"" who rules the Olympians of Mount Olympus, according to the ancient Greek religion. He is the god of sky and thunder in Greek mythology. Zeus is etymologically cognate with and, under Hellenic influence, became particularly closely identified with Roman Jupiter.
Zeus is the child of Cronus and Rhea, and the youngest of his siblings. In most traditions he is married to Hera, although, at the oracle of Dodona, his consort is Dione: according to the Iliad, he is the father of Aphrodite by Dione. He is known for his erotic escapades. These resulted in many godly and heroic offspring, including Athena, Apollo, Artemis, Hermes, Persephone, Dionysus, Perseus, Heracles, Helen of Troy, Minos, and the Muses; by Hera, he is usually said to have fathered Ares, Hebe and Hephaestus.
As Walter Burkert points out in his book, Greek Religion, ""Even the gods who are not his natural children address him as Father, and all the gods rise in his presence."" For the Greeks, he was the King of the Gods, who oversaw the universe. As Pausanias observed, ""That Zeus is king in heaven is a saying common to all men"".",Deity,"religion,deity"
centripetal_force,"A Centripetal force is a force that makes a body follow a curved path. Its direction is always orthogonal to the velocity of the body and towards the fixed point of the instantaneous center of curvature of the path. Isaac Newton described it as ""a force by which bodies are drawn or impelled, or in any way tend, towards a point as to a centre.""
One common example involving centripetal force is the case in which a body moves with uniform speed along a circular path. The centripetal force is directed at right angles to the motion and also along the radius towards the centre of the circular path. The mathematical description was derived in 1659 by Dutch physicist Christiaan Huygens.",,
diffusion,"Diffusion is the net movement of a substance from a region of high concentration to a region of low concentration. This is also referred to as the movement of a substance down a concentration gradient. A gradient is the change in the value of a quantity with the change in another variable. For example, a change in concentration over a distance is called a concentration gradient, a change in pressure over a distance is called a pressure gradient, and a change in temperature over a distance is a called a temperature gradient.
The word diffusion is derived from the Latin word, ""diffundere"", which means ""to spread out"". A distinguishing feature of diffusion is that it results in mixing or mass transport, without requiring bulk motion.",,
almagest,"The Almagest is a 2nd-century mathematical and astronomical treatise on the apparent motions of the stars and planetary paths. Written in Greek by Claudius Ptolemy, a Roman era scholar of Egypt, it is one of the most influential scientific texts of all time, with its geocentric model accepted for more than twelve hundred years from its origin in Hellenistic Alexandria, in the medieval Byzantine and Islamic worlds, and in Western Europe through the Middle Ages and early Renaissance until Copernicus.
The Almagest is the critical source of information on ancient Greek astronomy. It has also been valuable to students of mathematics because it documents the ancient Greek mathematician Hipparchus's work, which has been lost. Hipparchus wrote about trigonometry, but because his works no longer exist, mathematicians use Ptolemy's book as their source for Hipparchus's work and ancient Greek trigonometry in general.
The treatise's conventional Greek title is Μαθηματικὴ Σύνταξις, and the treatise is also known by the Latin form of this, Syntaxis mathematica.",Treatise,"m,02rx5hc"
lac_operon,"The lac operon is an operon required for the transport and metabolism of lactose in Escherichia coli and some other enteric bacteria. It has three adjacent structural genes, lacZ, lacY, and lacA. The genes encode β-galactosidase, lactose permease, and galactoside O-acetyltransferase, respectively.
In its natural environment, the lac operon allows for the effective digestion of lactose. Lactose permease, which is embedded in the cytoplasmic membrane, transports lactose into the cell. β-galactosidase, a cytoplasmic enzyme, subsequently cleaves lactose into glucose and galactose. However, it would be wasteful to produce the enzymes when there is no lactose available or if there is a more preferable energy source available, such as glucose. Gene regulation of the lac operon was the first genetic regulatory mechanism to be understood clearly, so it has become a foremost example of prokaryotic gene regulation. It is often discussed in introductory molecular and cellular biology classes at universities for this reason.
The lac operon uses a two-part control mechanism to ensure that the cell expends energy producing the enzymes encoded by the lac operon only when necessary.",,
tissue_(biology),"In biology, tissue is a cellular organizational level intermediate between cells and a complete organ. A tissue is an ensemble of similar cells from the same origin that together carry out a specific function. Organs are then formed by the functional grouping together of multiple tissues.
The study of tissue is known as histology or, in connection with disease, histopathology. The classical tools for studying tissues are the paraffin block in which tissue is embedded and then sectioned, the histological stain, and the optical microscope. In the last couple of decades, developments in electron microscopy, immunofluorescence, and the use of frozen tissue sections have enhanced the detail that can be observed in tissues. With these tools, the classical appearances of tissues can be examined in health and disease, enabling considerable refinement of medical diagnosis and prognosis.",Anatomical structure,"medicine,anatomical structure"
antarctica,"Antarctica is Earth's southernmost continent, containing the geographic South Pole. It is situated in the Antarctic region of the Southern Hemisphere, almost entirely south of the Antarctic Circle, and is surrounded by the Southern Ocean. At 14.0 million km², it is the fifth-largest continent in area after Asia, Africa, North America, and South America. For comparison, Antarctica is nearly twice the size of Australia. About 98% of Antarctica is covered by ice that averages at least 1.9 kilometres in thickness, which extends to all but the northernmost reaches of the Antarctic Peninsula.
Antarctica, on average, is the coldest, driest, and windiest continent, and has the highest average elevation of all the continents. Antarctica is considered a desert, with annual precipitation of only 200 mm along the coast and far less inland. The temperature in Antarctica has reached −89 °C. There are no permanent human residents, but anywhere from 1,000 to 5,000 people reside throughout the year at the research stations scattered across the continent.",Continent,"location,continent"
luzon,"Luzon is the largest island in the Philippines. It is located in the northernmost region of the archipelago, and is also the name of one of the three primary island groups in the country. Luzon as an island group includes Luzon proper, the Batanes and Babuyan groups of islands to the north, and the outlying islands of Catanduanes, Marinduque, Masbate, Romblon and Mindoro. Luzon is the economic and political center of the Philippines, being home to the country's capital city, Manila, and about half of the country's population. It is one of the most populated islands in the world, only behind Java, Honshu and Great Britain. It has a similar population size to Sumatra but much smaller area.",Geographical Feature,"geography,geographical feature"
ozonolysis,Ozonolysis is the cleavage of an alkene or alkyne with ozone to form organic compounds in which the multiple carbon–carbon bond has been replaced by a double bond to oxygen. The outcome of the reaction depends on the type of multiple bond being oxidized and the workup conditions.,,
the_temple_of_the_golden_pavilion,The Temple of the Golden Pavilion is a novel by the Japanese author Yukio Mishima. It was published in 1956 and translated into English by Ivan Morris in 1959.,,
nirvana,"Nirvāṇa literally means ""blown out"", as in a candle. It is most commonly associated with Buddhism. In Indian religions, the attainment of nirvana is moksha, liberation from the repeating cycle of birth, life and death.
In the Buddhist context nirvana refers to the imperturbable stillness of mind after the fires of desire, aversion, and delusion have been finally extinguished. In Hindu philosophy, it is the union with the divine ground of existence Brahman and the experience of blissful egolessness.",Belief,"religion,belief"
massacre_of_the_innocents,"The Massacre of the Innocents is the biblical narrative of infanticide by Herod the Great, the Roman-appointed King of the Jews. According to the Gospel of Matthew, Herod ordered the execution of all young male children in the vicinity of Bethlehem, so as to avoid the loss of his throne to a newborn King of the Jews whose birth had been announced to him by the Magi. In typical Matthean style, it is understood as the fulfillment of an Old Testament prophecy: ""Then was fulfilled that which was spoken through Jeremiah the prophet, saying, 'A voice is heard in Ramah, mourning and great weeping, Rachel weeping for her children and refusing to be comforted, because her children are no more.'""
Since all the canonical evidence that such an event occurred is found only in the Gospel of Matthew, New Testament scholars such as Daniel J. Harrington have said that the historicity of the event is ""an open question that probably can never be definitively decided.""",Art Subject,"visual art,art subject"
harbin,"Harbin is the capital and largest city of Heilongjiang province, People's Republic of China. Holding sub-provincial administrative status, Harbin has direct jurisdiction over 9 metropolitan districts, 2 county-level cities and 7 counties. Harbin is the eighth most populous Chinese city and the most populous city in Northeast China. According to the 2010 census, the city's nine urban districts has 6,704,573 inhabitants, while the total population of the sub-provincial city is up to 10,635,971. Harbin serves as a key political, economic, scientific, cultural and communications hub in Northeast China, as well as an important industrial base of the nation.
Harbin, which was originally a Manchu word meaning ""a place for drying fishing nets"", grew from a small rural settlement on the Songhua River to become one of the largest cities in Northeast China. Founded in 1898 with the coming of the Chinese Eastern Railway, the city first prospered as a region inhabited by an overwhelming majority of the immigrants from the Russian Empire.
Having the most bitterly cold winters among major Chinese cities, Harbin is heralded as the Ice City for its well-known winter tourism and recreations.",Chinese prefecture-level city,"location,cn prefecture level city"
aramaic_language,"Aramaic is a family of languages or dialects, belonging to the Semitic family. More specifically, it is a part of the Northwest Semitic subfamily, which also includes Canaanite languages such as Hebrew and Phoenician. The Aramaic script was widely adopted for other languages and is ancestral to both the Arabic and modern Hebrew alphabets.
During its approximately 3,100 years of written history, Aramaic has served variously as a language of administration of empires and as a language of divine worship.",Human Language,"language,human language"
column_chromatography,"Column chromatography in chemistry is a method used to purify individual chemical compounds from mixtures of compounds. It is often used for preparative applications on scales from micrograms up to kilograms. The main advantage of column chromatography is the relatively low cost and disposability of the stationary phase used in the process. The latter prevents cross-contamination and stationary phase degradation due to recycling.
The classical preparative chromatography column is a glass tube with a diameter from 5 mm to 50 mm and a height of 5 cm to 1 m with a tap and some kind of a filter at the bottom. Two methods are generally used to prepare a column: the dry method and the wet method.
For the dry method, the column is first filled with dry stationary phase powder, followed by the addition of mobile phase, which is flushed through the column until it is completely wet, and from this point is never allowed to run dry.
For the wet method, a slurry is prepared of the eluent with the stationary phase powder and then carefully poured into the column. Care must be taken to avoid air bubbles. A solution of the organic material is pipetted on top of the stationary phase.",,
ascanius,"Ascanius is a legendary king of Alba Longa and is the son of the Trojan hero Aeneas. He is a character in Roman mythology, and has a divine lineage, being the son of Aeneas, who is son of goddess Venus and the hero Anchises, a relative of the king Priam; thus Ascanius has divine ascendents by both parents, being descendant of god Jupiter, his wife Juno and Dardanus. He is also an ancestor of Romulus, Remus and the Gens Julia. Together with his father, he is a major character in the Aeneid, and he is depicted as one of founders of the Roman race.",Art Subject,"visual art,art subject"
evapotranspiration,"Evapotranspiration is the sum of evaporation and plant transpiration from the Earth's land and ocean surface to the atmosphere. Evaporation accounts for the movement of water to the air from sources such as the soil, canopy interception, and waterbodies. Transpiration accounts for the movement of water within a plant and the subsequent loss of water as vapor through stomata in its leaves. Evapotranspiration is an important part of the water cycle. An element that contributes to evapotranspiration can be called an evapotranspirator.
Potential evapotranspiration is a representation of the environmental demand for evapotranspiration and represents the evapotranspiration rate of a short green crop, completely shading the ground, of uniform height and with adequate water status in the soil profile. It is a reflection of the energy available to evaporate water, and of the wind available to transport the water vapour from the ground up into the lower atmosphere. Actual evapotranspiration is said to equal potential evapotranspiration when there is ample water.",,
un_ballo_in_maschera,"Un ballo in maschera is an opera in three acts by Giuseppe Verdi with text by Antonio Somma. However, Somma's libretto was itself based on the five act libretto which playwright Eugène Scribe had written for Daniel Auber's 1833 opera, Gustave III, ou Le bal masqué.
Although it was to take over two years between the time of the commission and its premiere performance, that took place at the Teatro Apollo in Rome on 17 February 1859.
Scribe wrote about the assassination in 1792 of King Gustav III of Sweden who was killed as the result of a political conspiracy against him. He was shot while attending a masked ball and died 13 days later of his wounds.
In order to become the Un ballo in maschera which we know today, Verdi's opera was forced to undergo a significant series of transformations, caused by a combination of censorship regulations in both Naples and Rome, as well as by the political situation in France in January 1858.",Opera,"opera,opera"
barkhausen_effect,"The Barkhausen effect is a name given to the noise in the magnetic output of a ferromagnet when the magnetizing force applied to it is changed. Discovered by German physicist Heinrich Barkhausen in 1919, it is caused by rapid changes of size of magnetic domains.
Barkhausen's work in acoustics and magnetism led to the discovery, which provided evidence that magnetization affects whole domains of a ferromagnetic material, rather than individual atoms alone. The Barkhausen effect is a series of sudden changes in the size and orientation of ferromagnetic domains, or microscopic clusters of aligned atomic magnets, that occurs during a continuous process of magnetization or demagnetization. The Barkhausen effect offered direct evidence for the existence of ferromagnetic domains, which previously had been postulated theoretically. Heinrich Barkhausen discovered that a slow, smooth increase of a magnetic field applied to a piece of ferromagnetic material, such as iron, causes it to become magnetized, not continuously but in minute steps.",,
bay_of_pigs_invasion,"The Bay of Pigs Invasion, known in Latin America as Invasión de Bahía de Cochinos, was a failed military invasion of Cuba undertaken by the CIA-sponsored paramilitary group Brigade 2506 on 17 April 1961. A counter-revolutionary military, trained and funded by the United States government's Central Intelligence Agency, Brigade 2506 fronted the armed wing of the Democratic Revolutionary Front and intended to overthrow the revolutionary left-wing government of Fidel Castro. Launched from Guatemala, the invading force was defeated within three days by the Cuban armed forces, under the direct command of Prime Minister Fidel Castro.
The Cuban Revolution of 1952 to 1959 had seen President Fulgencio Batista, a right-wing ally of the U.S., ousted. He was replaced by a new left-wing administration dominated by Castro, which had severed the country's formerly strong links with the U.S. by expropriating their economic assets and developing links with the Soviet Union, with whom the U.S. was then embroiled in the Cold War. The U.S. government of President Dwight D.",Military Conflict,"military,military conflict"
maya_hero_twins,"The Maya Hero Twins are the central figures of a narrative included within the colonial K'iche' document called Popol Vuh, and constituting the oldest Maya myth to have been preserved in its entirety. Called Hunahpu and Xbalanque in the K’iche’ language, the Twins have also been identified in the art of the Classic Mayas. The Twin motif recurs in many Native American mythologies; the Maya Twins in particular could be considered as mythical ancestors to the Maya ruling lineages.",Deity,"religion,deity"
oscar_wilde,"Oscar Wilde is a 1960 biographical film about Oscar Wilde, made by Vantage Films and released by 20th Century Fox.",Biographical Film,"m,03bxz7"
ergot,"Ergot or ergot fungi refers to a group of fungi of the genus Claviceps. The most prominent member of this group is Claviceps purpurea. This fungus grows on rye and related plants, and produces alkaloids that can cause ergotism in humans and other mammals who consume grains contaminated with its fruiting structure. Claviceps includes about 50 known species, mostly in the tropical regions. Economically significant species include C. purpurea, C. fusiformis, C. paspali, and C. africana. C. purpurea most commonly affects outcrossing species such as rye, as well as triticale, wheat and barley. It affects oats only rarely.
C. purpurea has at least three races or varieties, which differ in their host specificity:
G1 — land grasses of open meadows and fields;
G2 — grasses from moist, forest, and mountain habitats;
G3 — salt marsh grasses.",Organism Classification,"biology,organism classification"
srivijaya,"Srivijaya was a dominant thalassocratic city-state based on the island of Sumatra, Indonesia, which influenced much of Southeast Asia. Srivijaya was an important centre for the expansion of Buddhism from the 8th to the 12th century. In Sanskrit, sri means ""fortunate"", ""prosperous"", or ""happy"" and vijaya means ""victorious"" or ""excellence"".
The earliest evidence of its existence dates from the 7th century: a Chinese monk, Yijing, wrote that he visited Srivijaya in 671 for 6 months. The earliest known inscription in which the name Srivijaya appears also dates from the 7th century, i.e., the Kedukan Bukit inscription found near Palembang, Sumatra, dated 16 June 682. Between the late 7th to early 11th century Srivijaya rose to become a hegemon in Southeast Asia, involved in close interactions — often rivalries — with neighboring Java, Kambuja and Champa. Srivijaya's main foreign interest was nurturing lucrative trade agreements with China which continued from the Tang Dynasty to the Song era. Srivijaya had religious, cultural and trade links with the Buddhist Pala Empire of Bengal, as well as with the Islamic Caliphate in the Middle East.",Country,"location,country"
allosteric_regulation,"In biochemistry, allosteric regulation is the regulation of a protein by binding an effector molecule at a site other than the protein's active site.
The site the effector binds to is termed the allosteric site. Allosteric sites allow effectors to bind to the protein, often resulting in a conformational change. Effectors that enhance the protein's activity are referred to as allosteric activators, whereas those that decrease the protein's activity are called allosteric inhibitors.
Allosteric regulations are a natural example of control loops, such as feedback from downstream products or feedforward from upstream substrates. Long-range allostery is especially important in cell signaling. Allosteric regulation is also particularly important in the cell's ability to adjust enzyme activity.
The term allostery comes from the Greek allos, ""other,"" and stereos, ""solid."" This is in reference to the fact that the regulatory site of an allosteric protein is physically distinct from its active site.",,
thoth,"Thoth was one of the deities of the Egyptian pantheon. In art, he was often depicted as a man with the head of an ibis or a baboon, animals sacred to him. His feminine counterpart was Seshat, and his wife was Ma'at.
Thoth's chief temple was located in the city of Khmun, later called Hermopolis Magna during the Greco-Roman era and Ϣⲙⲟⲩⲛⲉⲓⲛ shmounein in the Coptic rendering. In that city, he led the Ogdoad pantheon of eight principal deities. He also had numerous shrines within the cities of Abydos, Hesert, Urit, Per-Ab, Rekhui, Ta-ur, Sep, Hat, Pselket, Talmsis, Antcha-Mutet, Bah, Amen-heri-ab, and Ta-kens.
Thoth played many vital and prominent roles in Egyptian mythology, such as maintaining the universe, and being one of the two deities who stood on either side of Ra's boat. In the later history of ancient Egypt, Thoth became heavily associated with the arbitration of godly disputes, the arts of magic, the system of writing, the development of science, and the judgment of the dead.",Deity,"religion,deity"
finlandia_hymn,"The Finlandia Hymn refers to a serene hymn-like section of the patriotic symphonic poem Finlandia, written in 1899 and 1900 by the Finnish composer Jean Sibelius. It was later re-worked by the composer into a stand-alone piece.
With words written in 1941 by Veikko Antero Koskenniemi, the Finlandia Hymn is one of the most important national songs of Finland.
Other words commonly sung to the same melody include six Christian hymns, Gweddi dros Gymru or A Prayer for Wales, Ambrosian Oaks, and Land of the Rising Sun, and At Thy Call We Gather. It is also the tune for Capital University's alma mater, ""O Capital.""",Composition,"music,composition"
croatia,"Croatia, officially the Republic of Croatia, is a unitary democratic parliamentary republic at the crossroads of Central Europe, Southeast Europe, and the Mediterranean. Its capital city is Zagreb, which forms one of the country's primary subdivisions, along with the twenty counties. Croatia covers 56,594 square kilometres and has diverse, mostly continental and Mediterranean climates. Croatia's Adriatic Sea coast contains more than a thousand islands. The country's population is 4.28 million, most of whom are Croats, with the most common religious denomination being Roman Catholicism.
The Croats arrived in the area of present-day Croatia during the early part of the 7th century AD. They organised the state into two duchies by the 9th century. Tomislav became the first king by 925, elevating Croatia to the status of a kingdom. The Kingdom of Croatia retained its sovereignty for nearly two centuries, reaching its peak during the rule of Kings Peter Krešimir IV and Dmitar Zvonimir. Croatia entered a personal union with Hungary in 1102. In 1527, faced with Ottoman conquest, the Croatian Parliament elected Ferdinand I of the House of Habsburg to the Croatian throne.",Country,"location,country"
peleus,"In Greek mythology, Peleus was a hero whose myth was already known to the hearers of Homer in the late 8th century BC. Peleus was the son of Aeacus, king of the island of Aegina, and Endeïs, the oread of Mount Pelion in Thessaly. He married the sea-nymph Thetis with whom he fathered Achilles.
Peleus and his brother Telamon were friends of Heracles, and served in Heracles' expedition against the Amazons, his war against King Laomedon, and his quest for the Golden Fleece. Though there were no further kings in Aegina, the kings of Epirus claimed descent from Peleus in the historic period.",Opera Character,"opera,opera character"
simon_magus,Simon Magus is a 1999 British mystery film directed by Ben Hopkins. It was entered into the 49th Berlin International Film Festival.,Period piece Film,"m,04xvlr"
compressibility,"In thermodynamics and fluid mechanics, compressibility is a measure of the relative volume change of a fluid or solid as a response to a pressure change.
where V is volume and p is pressure.",,
arcturus,"Arcturus of the constellation Boötes is the brightest star in the northern celestial hemisphere. With a visual magnitude of −0.04, it is the fourth brightest star in the night sky, after −1.46 magnitude Sirius, −0.86 magnitude Canopus, and −0.27 magnitude Alpha Centauri. It is a relatively close star at only 36.7 light-years from Earth, and, together with Vega and Sirius, one of the most luminous stars in the Sun's neighborhood.
Arcturus is a type K1.5 IIIpe orange giant star, with an absolute magnitude of −0.30. It has likely exhausted its hydrogen from its core and is currently in its active hydrogen shell burning phase. It will continue to expand before entering horizontal branch stage of its life cycle.",Star,"astronomy,star"
van_de_graaff_generator,"A Van de Graaff generator is an electrostatic generator which uses a moving belt to accumulate very high amounts of electrical potential on a hollow metal globe on the top of the stand. It was invented by American physicist Robert J. Van de Graaff in 1929. The potential difference achieved in modern Van de Graaff generators can reach 5 megavolts. A tabletop version can produce on the order of 100,000 volts and can store enough energy to produce a visible spark.
A Van de Graaff generator operates by transferring electric charge from a moving belt to a terminal. The high voltages generated by the Van de Graaff generator can be used for accelerating subatomic particles to high speeds, making the generator a useful tool for fundamental physics research.",,
ganesha,"Ganesha, also known as Ganapati and Vinayaka, is one of the best-known and most worshipped deities in the Hindu pantheon. His image is found throughout India. Hindu sects worship him regardless of affiliations. Devotion to Ganesha is widely diffused and extends to Jains, Buddhists, and beyond India.
Although he is known by many attributes, Ganesha's elephant head makes him easy to identify. Ganesha is widely revered as the remover of obstacles, the patron of arts and sciences and the deva of intellect and wisdom. As the god of beginnings, he is honoured at the start of rituals and ceremonies. Ganesha is also invoked as patron of letters and learning during writing sessions. Several texts relate mythological anecdotes associated with his birth and exploits and explain his distinct iconography.
Ganesha emerged as a distinct deity in the 4th and 5th centuries CE, during the Gupta Period, although he inherited traits from Vedic and pre-Vedic precursors. He was formally included among the five primary deities of Smartism in the 9th century. A sect of devotees called the Ganapatya arose, who identified Ganesha as the supreme deity.",Deity,"religion,deity"
ravana,Ravan is a fictional character from the 1992 film Ramayana: The Legend of Prince Rama.,Film character,"film,film character"
ravana,"Rāvaṇa is the primary antagonist in the Hindu epic Ramayana, where he is depicted as the rakshasa and asura king of Lanka. Rama had once addressed Ravana as a ""Maha Brahman"". Rāvaṇa is depicted and described as having ten heads. He is described as a follower of Shiva, a great scholar, a capable ruler and a maestro of the veena, but someone who wished to overpower the devas. His ten heads represents that his knowledge of the six shastras and the four Vedas. In the Ramayana, Rāvaṇa is the antagonist, kidnapping Rama's wife Sita to exact vengeance on Rama and his brother Lakshmana for having cut off the nose of his sister Surpanakha.",Film character,"film,film character"
