link,allcount,intext,QANTA,IR_Wiki,train,test
deus_ex_machina,3,3,0,0,3,0
louis_david,4,0,0,4,0,4
julia_kristeva,10,0,0,10,9,1
battle_of_pharsalus,3,3,0,0,3,0
zimbabwe,26,0,0,26,26,0
quantity_theory_of_money,25,4,0,21,24,1
jonathan_edwards_,1,0,0,1,0,1
placenta,126,0,103,23,126,0
emma,491,0,276,215,491,0
christopher_wren,18,0,0,18,18,0
rise_and_fall_of_the_city_of_mahagonny,12,0,0,12,12,0
all_quiet_on_the_western_front,415,4,212,199,397,18
porfirio_diaz,151,0,108,43,146,5
charles_river,11,8,0,3,11,0
their_eyes_were_watching_god,335,4,201,130,319,16
phenylalanine,25,0,0,25,25,0
dahomey,22,0,0,22,22,0
non-newtonian_fluid,4,0,0,4,4,0
mozambique,18,0,0,18,18,0
james_agee,171,0,135,36,167,4
third_crusade,240,4,147,89,233,7
uncertainty_principle,124,0,0,124,119,5
john_sherman,425,0,166,259,405,20
manhattan_project,3,3,0,0,3,0
charles_sanders_peirce,275,1,129,145,263,12
robert_e,3,3,0,0,3,0
robert_clive,3,3,0,0,3,0
utilitarianism_(book),101,0,91,10,101,0
cellulose,130,0,98,32,130,0
neurofibromatosis_type_i,11,0,0,11,11,0
pressure,90,0,0,90,90,0
second_bank_of_the_united_states,151,11,117,23,149,2
nicene_creed,16,2,0,14,16,0
zeng_guofan,6,6,0,0,6,0
barchester_towers,1,1,0,0,0,1
the_decay_of_the_angel,5,0,0,5,5,0
book_of_kells,16,0,0,16,16,0
wormwood_(bible),5,0,0,5,5,0
electromagnetic_fields,5,5,0,0,5,0
burma,14,0,0,14,14,0
frontier_thesis,6,0,0,6,6,0
cell_membrane,83,0,0,83,82,1
axon,117,0,99,18,117,0
queensland,10,0,0,10,10,0
channel_islands,1,0,0,1,1,0
reaction_rate,48,0,0,48,46,2
hatshepsut,71,0,0,71,71,0
london_bridge,6,6,0,0,6,0
slovakia,8,0,0,8,8,0
gravitational_redshift,49,0,0,49,49,0
carbon_dioxide,103,8,0,95,99,4
church_of_england,2,2,0,0,2,0
the_count_of_monte_cristo,364,3,68,293,348,16
clement_attlee,5,5,0,0,5,0
cleavage_furrow,11,0,0,11,10,1
battle_of_kings_mountain,130,0,104,26,125,5
christopher_columbus,276,2,91,183,263,13
quinine_total_synthesis,13,0,0,13,13,0
apollo,632,0,71,561,632,0
new_hampshire,6,6,0,0,4,2
anton_bruckner,3,0,0,3,3,0
georgia_o'keeffe,12,0,0,12,12,0
the_book_of_laughter_and_forgetting,7,7,0,0,7,0
reinforcement,17,0,0,17,17,0
chemical_potentials,2,2,0,0,2,0
john_coltrane,18,0,0,18,17,1
baptism,84,0,0,84,84,0
orange_river,22,0,0,22,21,1
edward_elgar,16,0,0,16,15,1
slime_mold,15,11,0,4,15,0
hampton_roads_conference,6,6,0,0,6,0
baffin_island,14,7,0,7,13,1
s_journey_into_night,11,0,7,4,0,11
aristotle,193,0,0,193,193,0
walpurgis_night,11,0,0,11,11,0
tristan_und_isolde,15,0,0,15,13,2
vitamin_k,211,0,94,117,200,11
germ_layer,17,0,0,17,16,1
sharia,38,0,0,38,38,0
vitamin_c,192,0,86,106,184,8
vitamin_a,65,12,0,53,62,3
vitamin_d,67,0,0,67,63,4
vitamin_e,7,0,0,7,6,1
geography_of_malawi,7,0,0,7,7,0
oppenheimer_approximation,4,0,4,0,0,4
division_of_labour,34,2,0,32,33,1
fahrenheit_451,28,0,0,28,28,0
tintoretto,9,0,0,9,9,0
chemical_potential,256,17,117,122,247,9
neutron_stars,3,3,0,0,3,0
sarah_siddons,5,0,0,5,5,0
andrew_jacksons,1,1,0,0,0,1
the_good_earth,2,2,0,0,2,0
sublime_(philosophy),24,0,0,24,24,0
benedict_anderson,2,0,0,2,2,0
the_poverty_of_historicism,3,0,0,3,3,0
eos,18,0,0,18,18,0
winnemac_(fictional_u.s._state),1,0,0,1,1,0
thomas_nashe,5,5,0,0,5,0
muscovy_company,3,3,0,0,3,0
adam_bede_(character),278,0,74,204,278,0
realism_(international_relations),7,0,0,7,7,0
pecos_bill,1,0,0,1,1,0
tower_of_hanoi,5,0,0,5,5,0
protagoras_(dialogue),13,0,0,13,13,0
entropy,313,0,140,173,313,0
crete,32,0,0,32,32,0
federal_reserve_system,30,0,0,30,28,2
lord_tennyson,5,1,1,3,1,4
heraclitus,43,0,0,43,43,0
faust_(opera),7,0,0,7,7,0
electron_transport_chain,157,1,91,65,147,10
the_life_and_opinions_of_tristram_shandy,7,0,4,3,0,7
roger_williams_(theologian),101,0,52,49,101,0
jean_cocteau,3,0,0,3,3,0
captain_marvel_(dc_comics),82,0,0,82,82,0
jacobus_henricus_van_'t_hoff,3,0,0,3,3,0
bellerophon,291,0,207,84,291,0
price_elasticity_of_demand,29,0,0,29,29,0
sunday_in_the_park_with_george,1,0,0,1,1,0
fafnir,27,0,0,27,27,0
gulliver's_travels_(miniseries),9,0,0,9,9,0
"henry_cabot_lodge,_jr.",107,0,87,20,107,0
growth_hormone,57,0,0,57,53,4
mughal_empire,188,1,107,80,177,11
enigma_variations,4,0,0,4,4,0
cultural_revolution,367,0,234,133,347,20
triton_(moon),24,0,6,18,24,0
jamaica,225,0,151,74,225,0
chagas_disease,27,0,0,27,26,1
nuclear_binding_energy,106,0,0,106,104,2
bloomsbury_group,2,2,0,0,2,0
ajax_(sophocles),4,0,0,4,4,0
delmore_schwartz,2,2,0,0,2,0
battle_of_hastings,237,0,148,89,226,11
kaliningrad,5,0,0,5,5,0
meditation,109,0,0,109,109,0
john_locke,198,1,108,89,191,7
active_galactic_nucleus,9,0,0,9,9,0
fathers_and_sons_,5,0,3,2,0,5
john_adams_(miniseries),8,0,0,8,8,0
amun,45,0,0,45,45,0
petra,20,0,0,20,20,0
louis_auguste_blanqui,2,2,0,0,2,0
chronicle_of_a_death_foretold,194,0,113,81,184,10
pluto,10,0,0,10,10,0
bangkok,17,0,0,17,17,0
weak_interaction,43,0,0,43,41,2
verbal_behavior,28,0,0,28,28,0
bruno_bettelheim,146,0,127,19,142,4
second_temple,29,0,0,29,28,1
velocity_of_money,1,0,0,1,1,0
mannerism,9,0,0,9,9,0
african_national_congress,1,1,0,0,1,0
wilhelm_rontgen,7,0,0,7,7,0
assyria,60,0,0,60,60,0
mount_fuji,10,0,0,10,10,0
falstaff_(opera),7,0,0,7,7,0
younger_dryas,1,0,0,1,1,0
honey_bee_pheromones,1,0,0,1,0,1
tydeus,24,0,0,24,24,0
joseph_campbell,1,1,0,0,0,1
sarah,68,0,0,68,68,0
in_the_mood_for_love,4,0,0,4,4,0
ulysses_s,36,0,5,31,0,36
mystical_marriage_of_saint_catherine,5,0,0,5,5,0
les_huguenots,7,0,0,7,7,0
anaxagoras,10,0,0,10,10,0
helmholtz_free_energy,185,1,138,46,180,5
indiana,9,0,0,9,9,0
sarah_bernhardt,1,0,0,1,1,0
gerard_manley_hopkins,146,3,43,100,138,8
juan_manuel_de_rosas,4,4,0,0,4,0
democritus,137,0,108,29,137,0
unam_sanctam,4,0,0,4,4,0
frederick_jackson_turner,4,0,0,4,4,0
kabbalah,135,0,0,135,135,0
edward_hicks,5,0,0,5,5,0
human_genome_project,8,0,0,8,8,0
bertolt_brecht,177,0,56,121,171,6
acetylcholine,151,0,98,53,151,0
francis_scott_key,2,2,0,0,2,0
mansfield_park,295,1,145,149,282,13
urea,108,0,0,108,108,0
foot_binding,12,0,0,12,11,1
franz_boas,311,2,95,214,301,10
masaccio,4,0,0,4,4,0
prime_minister_of_canada,5,5,0,0,5,0
seaborgium,5,0,0,5,5,0
henry_l,4,0,3,1,0,4
chiron,69,0,0,69,69,0
the_canterbury_tales,1,1,0,0,1,0
s_demon,1,0,0,1,0,1
dyson_sphere,9,0,0,9,9,0
whig_party_,6,0,4,2,0,6
cancer_(constellation),7,0,0,7,7,0
eugene_onegin,2,2,0,0,2,0
patella,1,0,0,1,1,0
aryl_halide,12,0,0,12,12,0
harry_stack_sullivan,6,0,0,6,6,0
alpha_particle,33,1,0,32,33,0
pseudo-dionysius_the_areopagite,15,0,0,15,15,0
kenneth_arrow,45,0,34,11,44,1
mackenzie_river,42,0,0,42,41,1
claude_shannon,11,3,0,8,11,0
"absalom,_absalom!",196,0,127,69,196,0
napoleonic_wars,3,3,0,0,3,0
federalist_papers,18,2,0,16,18,0
herbert_a._simon,57,0,0,57,57,0
edict_of_nantes,116,2,85,29,114,2
epinephrine,64,0,0,64,64,0
ramadan,34,0,0,34,34,0
medusa,176,0,95,81,176,0
salmonella,26,0,0,26,26,0
hypnos,136,0,84,52,136,0
david_copperfield_(character),284,0,234,50,284,0
armory_show,3,0,0,3,3,0
huffman_coding,3,0,0,3,3,0
candide,650,0,147,503,650,0
acupuncture,21,0,0,21,21,0
electra,10,0,0,10,10,0
stegosaurus,11,0,0,11,11,0
william_cullen_bryant,266,0,198,68,260,6
the_rape_of_the_lock,176,3,116,57,170,6
giacomo_meyerbeer,9,0,0,9,9,0
thomas_friedman,16,0,0,16,16,0
james_a._garfield,568,0,135,433,568,0
zeta_potential,15,10,0,5,15,0
python_(programming_language),3,0,0,3,3,0
oxygen,150,0,0,150,150,0
gini_coefficient,18,0,0,18,17,1
work_function,50,3,0,47,48,2
the_glass_menagerie,122,0,72,50,116,6
the_masque_of_the_red_death,1,1,0,0,1,0
mie_scattering,24,0,0,24,24,0
hooke's_law,140,0,0,140,140,0
lactic_acid,175,2,142,31,172,3
battle_of_trenton,187,0,113,74,184,3
alkane,123,0,0,123,123,0
divine_right_of_kings,8,0,0,8,8,0
the_screwtape_letters,2,0,0,2,2,0
taliesin,146,0,108,38,146,0
palm_islands,1,0,0,1,1,0
rem_koolhaas,6,0,0,6,5,1
critique_of_practical_reason,164,0,136,28,160,4
battle_of_carrhae,9,9,0,0,8,1
binary_star,28,0,0,28,28,0
british_virgin_islands,7,0,0,7,7,0
clifford_geertz,174,0,144,30,167,7
parmenides_(dialogue),2,0,0,2,2,0
edith_wharton,200,11,115,74,190,10
la_rochelle,7,7,0,0,7,0
the_makropulos_affair_(opera),1,0,0,1,1,0
max_ernst,5,0,0,5,5,0
molecular_orbital_theory,166,2,92,72,158,8
transfer_rna,127,0,94,33,119,8
david_(donatello),10,0,0,10,10,0
transketolase,25,0,0,25,25,0
memristor,78,0,0,78,78,0
rick_warren,4,0,0,4,3,1
color_blindness,11,0,0,11,11,0
erich_ludendorff,4,4,0,0,4,0
kiwi,2,0,0,2,2,0
interphase,2,0,0,2,2,0
the_world_as_will_and_representation,31,2,0,29,29,2
jacob_riis,15,0,0,15,14,1
bystander_effect,133,0,98,35,128,5
toronto,7,0,0,7,7,0
the_golden_cockerel,3,0,0,3,3,0
flora_purim,4,0,0,4,4,0
alfred_dreyfus,135,5,122,8,132,3
paul_taylor_(choreographer),4,0,0,4,4,0
dave_brubeck,4,0,0,4,4,0
vincent_van_gogh,21,0,0,21,20,1
auger_effect,152,0,152,0,148,4
horatio_gates,112,0,85,27,110,2
league_of_nations,421,3,136,282,408,13
long_island,15,4,0,11,14,1
galileo_(spacecraft),30,0,0,30,30,0
elgin_marbles,6,0,0,6,6,0
executive_privilege,2,0,0,2,2,0
pilgrimage,17,0,0,17,17,0
william_henry_harrison,284,3,90,191,277,7
viscosity,312,0,181,131,312,0
kwame_nkrumah,192,2,144,46,182,10
te_deum,3,0,0,3,3,0
lycidas,169,0,101,68,169,0
antidepressant,37,0,0,37,37,0
john_foster_dulles,120,0,77,43,115,5
frederick_the_great,5,5,0,0,5,0
anthony_wayne,3,3,0,0,3,0
the_plague,361,11,173,177,340,21
parmenides,201,0,171,30,201,0
grandma_moses,1,0,0,1,1,0
lucas_cranach_the_elder,8,0,0,8,8,0
west_rebellion,1,1,0,0,1,0
chester_a._arthur,340,0,101,239,340,0
madeira,14,0,0,14,14,0
russell's_paradox,6,0,0,6,6,0
treaty_of_utrecht,155,1,142,12,151,4
consciousness,107,0,0,107,107,0
diomedes,594,0,218,376,594,0
pictures_at_an_exhibition,1,0,0,1,1,0
fallingwater,2,0,0,2,2,0
josef_von_sternberg,2,0,0,2,2,0
earth's_magnetic_field,84,0,0,84,84,0
personality,2,0,0,2,2,0
fomalhaut,6,0,0,6,6,0
giovanni_boccaccio,170,0,128,42,165,5
samuel_j._tilden,66,0,59,7,66,0
ambrose_bierce,312,0,198,114,298,14
heimdallr,221,0,182,39,221,0
wilmot_proviso,176,0,139,37,168,8
quantum_computer,19,0,0,19,19,0
the_wedding_at_cana,2,0,0,2,2,0
henry_hudson,176,0,118,58,167,9
the_work_of_art_in_the_age_of_mechanical_reproduction,3,0,0,3,3,0
angry_young_men,3,0,0,3,3,0
colloid,40,0,0,40,40,0
darling_river,5,0,0,5,5,0
abraham_maslow,175,4,122,49,167,8
jorge_luis_borges,589,0,111,478,572,17
ludwig_van_beethoven,21,0,0,21,20,1
erewhon,163,0,123,40,163,0
earl_warren,192,0,120,72,187,5
homestead_strike,119,0,95,24,117,2
common_sense_(pamphlet),8,0,0,8,8,0
electronvolt,14,0,0,14,14,0
salt_lake_city,15,0,0,15,15,0
draco_(constellation),8,0,0,8,8,0
aral_sea,3,0,0,3,3,0
metropolis_(1927_film),15,0,0,15,15,0
transcendentalism,3,0,0,3,3,0
alexander_kerensky,239,0,218,21,233,6
i_ching,7,0,0,7,7,0
snow_country,248,3,206,39,237,11
agil_paradigm,3,0,0,3,3,0
dlvo_theory,12,0,0,12,12,0
orion_(mythology),636,0,252,384,636,0
emmanuel_chabrier,1,0,0,1,1,0
carl_philipp_emanuel_bach,1,0,0,1,1,0
carbene,14,0,0,14,14,0
stress_(biology),122,0,0,122,122,0
muhammad_ali_jinnah,316,0,168,148,305,11
daniel_ortega,5,0,0,5,5,0
discipline_and_punish,92,0,74,18,88,4
magnetosphere,4,0,0,4,4,0
arms_and_the_man,209,3,169,37,201,8
dian_fossey,142,0,111,31,137,5
cytochrome_c_oxidase,37,0,0,37,36,1
hermann_von_helmholtz,4,0,0,4,2,2
lawrencium,5,0,0,5,5,0
parthian_empire,403,0,128,275,382,21
william_wordsworth,266,0,132,134,260,6
ivan_the_terrible,254,0,127,127,238,16
"sickle_cell_anemia,_a_molecular_disease",3,0,0,3,3,0
carbanion,7,0,0,7,7,0
impromptus_(schubert),3,0,0,3,3,0
ophelia_(painting),2,0,0,2,2,0
rna_editing,21,0,0,21,21,0
columbia_river,141,0,97,44,136,5
carbonic_anhydrase,95,1,89,5,82,13
homo_erectus,135,0,128,7,131,4
loop_quantum_gravity,156,0,0,156,153,3
threshold_voltage,3,0,0,3,3,0
george_crumb,4,4,0,0,4,0
persepolis,10,0,0,10,10,0
mount_kinabalu,5,0,0,5,5,0
heinrich_hertz,39,2,0,37,38,1
cold_fusion,43,0,0,43,42,1
dawes_act,2,2,0,0,2,0
o_captain,2,0,2,0,0,2
geography_of_ivory_coast,2,0,0,2,2,0
dagon,16,0,0,16,16,0
the_knights_templar,2,2,0,0,2,0
steppenwolf_(novel),105,0,60,45,105,0
nazi_party,2,2,0,0,1,1
decibel,51,0,0,51,51,0
gabriela_mistral,145,0,102,43,140,5
lithium,142,0,66,76,142,0
pancho_villa,173,0,78,95,167,6
pierre_corneille,147,0,119,28,143,4
horus,208,0,143,65,208,0
chicago_school_of_economics,53,0,0,53,52,1
hysteresis,174,0,86,88,174,0
patagonia,51,0,0,51,51,0
apparent_magnitude,3,0,0,3,3,0
minkowski_space,7,0,0,7,7,0
vermont,17,0,0,17,17,0
myrrha,180,0,0,180,180,0
jazz_age,1,1,0,0,1,0
haruki_murakami,401,0,251,150,389,12
yenisei_river,12,0,0,12,12,0
fermilab,8,0,0,8,8,0
cisplatin,3,0,0,3,3,0
kali,171,0,0,171,171,0
edmonton,17,0,0,17,17,0
conjugate_variables_(thermodynamics),20,0,0,20,20,0
brahmaputra_river,16,2,0,14,15,1
kublai_khan,402,2,156,244,378,24
die_meistersinger_von_nurnberg,14,0,0,14,13,1
thyroid,199,0,100,99,199,0
cervix,14,0,0,14,14,0
transformer,67,0,0,67,67,0
burmese_days,8,8,0,0,8,0
sharpless_asymmetric_dihydroxylation,9,0,0,9,9,0
geography_of_switzerland,30,0,0,30,30,0
battle_of_caporetto,153,0,136,17,148,5
xibalba,1,0,0,1,1,0
phillis_wheatley,139,0,115,24,132,7
northwest_territory,3,3,0,0,3,0
calcium_signaling,11,0,0,11,10,1
calcium_carbonate,23,0,0,23,23,0
carboxylic_acid,40,10,0,30,39,1
david_lloyd_george,304,0,53,251,300,4
vasco_da_gama,167,0,67,100,158,9
s_court,13,0,7,6,0,13
rip_van_winkle,192,0,89,103,184,8
gender_trouble,10,0,0,10,10,0
schenck_v._united_states,48,0,39,9,48,0
polarization_(waves),228,0,110,118,228,0
wuthering_heights,424,0,183,241,407,17
george_eliot,372,11,194,167,359,13
anaerobic_respiration,15,0,0,15,15,0
peking_man,6,3,0,3,6,0
dialogues_of_the_carmelites,1,0,0,1,0,1
denaturation_(biochemistry),2,0,0,2,2,0
problem_of_induction,7,0,0,7,7,0
criminology,71,0,0,71,71,0
emile_zola,112,0,88,24,111,1
second_boer_war,408,0,97,311,397,11
salmon_p,2,0,2,0,0,2
central_african_republic,5,0,0,5,5,0
aeneas,186,0,112,74,186,0
robert_herrick_,4,0,3,1,0,4
thomas_hardy,518,18,230,270,498,20
frame-dragging,28,0,0,28,28,0
spiro_agnew,121,0,72,49,116,5
edward_b,1,0,0,1,0,1
mithra,18,0,0,18,18,0
walter_raleigh,3,3,0,0,3,0
don_carlos_buell,6,6,0,0,6,0
octopus,17,0,0,17,17,0
the_overcoat,100,2,77,21,96,4
all_the_king's_men,69,0,24,45,69,0
tetanus,71,0,49,22,71,0
magnetic_field,319,32,84,203,308,11
aubrey_beardsley,2,0,0,2,2,0
olivier_messiaen,8,0,0,8,8,0
antonio_de_oliveira_salazar,117,0,87,30,116,1
john_the_baptist,180,7,0,173,179,1
schwarzschild_radius,3,0,0,3,3,0
william_hogarth,7,0,0,7,7,0
treemonisha,2,0,0,2,2,0
prince_edward_island,8,0,0,8,7,1
new_guinea,37,10,0,27,36,1
kodiak_island,1,0,0,1,1,0
david_hilbert,34,0,0,34,33,1
critique_of_judgment,25,0,0,25,23,2
basilica_of_san_francesco_d'assisi,3,0,0,3,3,0
committee_of_public_safety,2,2,0,0,2,0
papal_infallibility,31,0,0,31,29,2
priam,9,0,0,9,9,0
gene_conversion,18,0,0,18,17,1
paris_(mythology),138,0,0,138,138,0
ray_crystallography,5,0,0,5,0,5
joseph_proudhon,3,0,0,3,0,3
isis,499,0,244,255,499,0
prospect_theory,3,0,0,3,3,0
aldol_reaction,150,0,60,90,143,7
john_dos_passos,155,0,55,100,148,7
homage_to_catalonia,6,6,0,0,6,0
khnum,12,0,0,12,12,0
twilight_of_the_idols,8,2,0,6,8,0
aorta,75,0,45,30,75,0
ezekiel,12,0,0,12,12,0
caenorhabditis_elegans,105,0,81,24,103,2
marcus_aurelius,3,3,0,0,3,0
claes_oldenburg,3,0,0,3,3,0
bodhisattva,3,0,0,3,3,0
the_subjection_of_women,3,0,0,3,2,1
samarkand,5,0,0,5,5,0
eddy_covariance,1,0,0,1,1,0
shrine,24,0,0,24,24,0
dna_replication,39,0,0,39,35,4
hans_island,1,0,0,1,1,0
salem_witch_trials,181,1,80,100,173,8
ordovician,6,0,0,6,6,0
the_gift_(book),124,0,124,0,124,0
haman_(biblical_figure),6,0,0,6,6,0
jacopo_della_quercia,5,0,0,5,5,0
alberto_giacometti,1,0,0,1,1,0
henry_cabot_lodge,163,2,102,59,155,8
saint_christopher,8,0,0,8,8,0
mulholland_drive_,1,0,0,1,0,1
the_duchess_of_malfi,437,0,135,302,416,21
gonorrhea,16,0,0,16,16,0
el_greco,9,0,0,9,9,0
solar_wind,22,0,0,22,22,0
noise_(electronics),34,0,0,34,34,0
planck_constant,278,0,0,278,270,8
phosphorescence,3,0,0,3,3,0
mr._smith_goes_to_washington,1,0,0,1,1,0
work_(physics),108,0,0,108,108,0
green_algae,8,0,0,8,7,1
the_theory_of_moral_sentiments,24,0,0,24,24,0
coupled_device,3,0,0,3,0,3
idealism,105,0,0,105,105,0
spin_quantum_numbers,2,2,0,0,2,0
praetorian_guard,4,4,0,0,4,0
"cry,_the_beloved_country",201,0,113,88,201,0
guggenheim_museum_bilbao,1,0,0,1,1,0
bubonic_plague,12,1,0,11,11,1
j._r._r._tolkien,126,0,0,126,126,0
monophysitism,4,0,0,4,4,0
jehovah's_witnesses,84,0,0,84,84,0
book_of_deuteronomy,24,0,0,24,24,0
an_american_tragedy,161,1,113,47,157,4
on_liberty,62,2,0,60,61,1
quiet_revolution,4,4,0,0,4,0
stanley_kubrick,43,0,0,43,42,1
ezra,8,0,0,8,8,0
linus_pauling,86,7,0,79,82,4
aaron's_rod,13,0,0,13,13,0
psycholinguistics,5,0,0,5,5,0
comparative_advantage,102,0,85,17,98,4
black_body,46,0,0,46,45,1
george_gamow,30,0,0,30,30,0
giacomo_leopardi,41,0,0,41,40,1
battle_of_salamis,194,0,109,85,186,8
symphony_in_d_minor_(bruckner),1,0,0,1,1,0
johann_wolfgang_von_goethe,470,0,153,317,452,18
dawes_plan,69,0,54,15,67,2
little_albert_experiment,12,0,0,12,12,0
parkinson's_disease,64,0,0,64,64,0
ebola_virus,1,0,0,1,1,0
madonna_of_chancellor_rolin,1,0,0,1,1,0
margaret_atwood,238,2,152,84,224,14
la_gioconda_,1,0,0,1,0,1
herbert_marcuse,68,0,0,68,64,4
strontium,29,0,0,29,29,0
dubliners,92,0,68,24,92,0
mapp_v._ohio,32,0,28,4,32,0
winslow_homer,7,0,0,7,7,0
boxer_rebellion,346,2,121,223,332,14
scenes_of_clerical_life,3,3,0,0,3,0
anti-masonic_party,126,0,116,10,126,0
tasmanian_devil,44,0,0,44,41,3
allen_dulles,2,2,0,0,2,0
montreal,7,0,0,7,7,0
mount_whitney,1,0,0,1,1,0
l'orfeo,16,0,0,16,16,0
activation_energy,12,0,0,12,12,0
pelops,102,0,0,102,102,0
triple_point,8,0,0,8,8,0
the_blithedale_romance,2,2,0,0,2,0
livy,4,0,0,4,4,0
all_the_king,4,0,1,3,0,4
igbo_people,60,0,0,60,58,2
charles_dickens,544,9,146,389,521,23
madelung_constant,2,0,0,2,2,0
driftless_area,25,0,0,25,25,0
satyr_play,5,5,0,0,5,0
report_on_manufactures,1,0,0,1,0,1
gustav_fechner,7,0,0,7,6,1
caroline_affair,110,0,105,5,108,2
as_you_like_it,215,0,98,117,206,9
ancient_egypt,5,5,0,0,4,1
rogier_van_der_weyden,2,0,0,2,2,0
zirconium,25,0,0,25,25,0
john_winthrop,4,4,0,0,4,0
menten_kinetics,1,0,0,1,0,1
les_demoiselles_d'avignon,5,0,0,5,5,0
wien's_displacement_law,19,0,0,19,19,0
arabidopsis_thaliana,27,0,0,27,25,2
heart,65,0,0,65,65,0
black_hawk_war,280,2,153,125,270,10
gymnosperm,3,0,0,3,3,0
fermi_surfaces,3,3,0,0,3,0
galen,53,0,0,53,53,0
gehenna,9,0,0,9,9,0
dante_alighieri,180,2,96,82,166,14
battle_of_actium,174,1,126,47,164,10
louis_the_pious,2,2,0,0,2,0
dialysis,8,0,0,8,8,0
karl_popper,214,0,61,153,204,10
nihilism,98,0,0,98,98,0
kullervo,6,0,0,6,6,0
uric_acid,42,0,0,42,39,3
samuel_butler_,6,0,2,4,0,6
kamakura_shogunate,111,0,92,19,110,1
william_booth,5,5,0,0,5,0
nanook_of_the_north,2,0,0,2,2,0
otto_hahn,36,0,0,36,36,0
magnetic_flux,9,0,0,9,8,1
corona,71,0,0,71,71,0
deconstruction,142,0,0,142,142,0
siena_cathedral,12,0,0,12,12,0
satanic_verses,17,3,0,14,17,0
the_last_puritan,1,1,0,0,1,0
george_h,3,0,3,0,0,3
the_new_york_times,1,1,0,0,0,1
nitrogen,109,0,0,109,109,0
ruslan_and_lyudmila_(opera),8,0,0,8,8,0
bipolar_junction_transistor,36,0,0,36,35,1
the_magic_mountain,235,2,79,154,224,11
dead_souls,141,5,80,56,132,9
nitric_acid,153,0,91,62,148,5
toru_takemitsu,6,0,0,6,6,0
hydrogenation,63,0,0,63,63,0
seagram_building,1,0,0,1,1,0
the_burial_of_the_count_of_orgaz,1,0,0,1,1,0
filippino_lippi,1,0,0,1,1,0
yama,91,0,0,91,91,0
a_sunday_afternoon_on_the_island_of_la_grande_jatte,1,0,0,1,1,0
corpus_callosum,54,0,47,7,51,3
dollar_diplomacy,1,1,0,0,0,1
solubility,87,0,0,87,87,0
philoctetes,30,0,0,30,30,0
liberal_paradox,5,0,0,5,5,0
terry_riley,1,0,0,1,1,0
marcel_proust,171,1,103,67,165,6
pope_alexander_vi,6,6,0,0,6,0
concerto,4,0,0,4,4,0
the_concept_of_law,2,0,0,2,2,0
anthony_burgess,321,2,102,217,309,12
eugene_o'neill,381,0,238,143,381,0
john_cage,27,0,0,27,27,0
santa_catalina_mountains,1,0,0,1,1,0
langston_hughes,391,4,180,207,373,18
ambrose_burnside,256,2,207,47,250,6
idaho,8,0,0,8,8,0
nematode,45,0,0,45,45,0
barry_goldwater,237,0,120,117,225,12
richard_wagner,47,0,0,47,44,3
cairo,11,0,0,11,11,0
anubis,27,0,0,27,27,0
the_dynasts,2,2,0,0,2,0
pareto_efficiency,8,0,0,8,8,0
ghrelin,41,0,0,41,41,0
vendidad,9,0,0,9,9,0
nicolaou_taxol_total_synthesis,28,0,0,28,26,2
the_seagull,436,0,320,116,423,13
songs_without_words,1,0,0,1,1,0
bioko,1,0,0,1,1,0
pale_fire,180,2,134,44,170,10
the_art_of_fugue,7,0,0,7,7,0
sister_carrie,206,1,139,66,199,7
consumer_price_index,11,0,0,11,10,1
existentialism,188,0,0,188,188,0
wassily_kandinsky,14,0,0,14,13,1
quark,73,0,0,73,73,0
conservative_judaism,14,0,0,14,14,0
john_henry_(folklore),3,0,0,3,3,0
public_sphere,9,0,0,9,9,0
sublimation_(phase_transition),4,0,0,4,4,0
imhotep,17,0,0,17,17,0
amino_acid,187,12,0,175,178,9
magnetic_potential,19,0,0,19,19,0
lady_gaga,21,0,0,21,21,0
thomas_kyd,4,4,0,0,4,0
toulouse,1,0,0,1,1,0
the_nightingale_(fairy_tale),3,0,0,3,3,0
jean-baptiste-camille_corot,6,0,0,6,6,0
myasthenia_gravis,8,0,0,8,7,1
second_council_of_ephesus,8,0,0,8,8,0
the_europeans,2,2,0,0,2,0
pittsburgh,22,0,0,22,22,0
cornwall,14,0,0,14,14,0
on_the_jewish_question,31,0,0,31,30,1
prometheus,212,0,0,212,212,0
marvin_harris,14,0,0,14,13,1
partition_function_,2,0,1,1,0,2
uracil,108,0,83,25,108,0
baldr,256,0,200,56,256,0
semantics,6,0,0,6,6,0
robert_frost,411,0,168,243,402,9
s_bay_company,9,0,6,3,0,9
entropy_(information_theory),46,0,0,46,46,0
magnesium,97,0,53,44,97,0
bronislaw_malinowski,170,0,170,0,163,7
photosynthesis,194,0,63,131,194,0
hydrogen_bond_catalysis,59,0,0,59,57,2
chlorophyll,32,0,0,32,32,0
giant_steps_,1,0,0,1,0,1
loki,624,0,261,363,624,0
lascaux,3,0,0,3,3,0
gingivitis,3,0,0,3,3,0
queen_of_carthage,2,0,0,2,0,2
lake_tanganyika,89,4,66,19,87,2
samuel_pepys,39,0,0,39,37,2
kvasir,11,0,0,11,11,0
fomorians,25,0,0,25,25,0
gangrene,11,0,0,11,11,0
great_leap_forward,11,0,0,11,9,2
olmec,24,0,0,24,24,0
the_phenomenology_of_spirit,259,2,157,100,247,12
reichstag_building,1,0,0,1,1,0
hydrogen_cyanide,18,0,0,18,17,1
duodenum,29,0,0,29,29,0
timaeus_(dialogue),9,0,0,9,9,0
